subject,predicate,object
<http://data.parliament.uk/depositedpapers/2285266> ,<http://data.parliament.uk/schema/parl#depositedFile> ,<https://data.parliament.uk/DepositedPapers/files/DEP2023-0366/010C_-_UCPB_23_03_21-Paper_2-Programme_Dashboard.pdf>
<http://data.parliament.uk/depositedpapers/2285266> ,<http://data.parliament.uk/schema/parl#depositedFile> ,<https://data.parliament.uk/DepositedPapers/files/DEP2023-0366/011D-UCPB_23_03_21-Paper_3_Financial_Projections.pdf>
<http://data.parliament.uk/depositedpapers/2285266> ,<http://data.parliament.uk/schema/parl#depositedFile> ,<https://data.parliament.uk/DepositedPapers/files/DEP2023-0366/012E-UCPB_23_03_21-Paper_4-Move_to_UC-UC_Planning.pdf>
<http://data.parliament.uk/depositedpapers/2285266> ,<http://data.parliament.uk/schema/parl#depositedFile> ,<https://data.parliament.uk/DepositedPapers/files/DEP2023-0366/013E-UCPB_23_03_21-Paper_4a-Move_to_UC_POAP.pdf>
<http://data.parliament.uk/depositedpapers/2285266> ,<http://data.parliament.uk/schema/parl#depositedFile> ,<https://data.parliament.uk/DepositedPapers/files/DEP2023-0366/014F-UCPB_23_03_21-BTL01-Move_to_UC-Phase1a.pdf>
<http://data.parliament.uk/depositedpapers/2285266> ,<http://data.parliament.uk/schema/parl#depositedFile> ,<https://data.parliament.uk/DepositedPapers/files/DEP2023-0366/015G-UCPB23_03_21-BTL02-Move_to_UC-Atkins_Review_Update.pdf>
<http://data.parliament.uk/depositedpapers/2285266> ,<http://data.parliament.uk/schema/parl#depositedFile> ,<https://data.parliament.uk/DepositedPapers/files/DEP2023-0366/016H-UCPB_23_03_21_-_BTL03_-_Finance_Report.pdf>
<http://data.parliament.uk/depositedpapers/2285266> ,<http://data.parliament.uk/schema/parl#depositedFile> ,<https://data.parliament.uk/DepositedPapers/files/DEP2023-0366/017H1_Atkins_DWP_Move_to_UC_Final_Report_v1_0.pdf>
<http://data.parliament.uk/depositedpapers/2285266> ,<http://data.parliament.uk/schema/parl#depositedFile> ,<https://data.parliament.uk/DepositedPapers/files/DEP2023-0366/Commitment_letter.pdf>
<http://data.parliament.uk/depositedpapers/2285266> ,<http://data.parliament.uk/schema/parl#searchDate> ,20/04/2023
