"Subject","Predicate","Object"
"http://parliament.uk/ontologies/tabling/House","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/tabling/House","http://www.w3.org/2000/01/rdf-schema#comment","A parliamentary House, for example: the House of Lords."
"http://parliament.uk/ontologies/tabling/TabledThing","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/tabling/"
"http://parliament.uk/ontologies/tabling/hasHouse","http://www.w3.org/2000/01/rdf-schema#comment","Relates an act of tabling or withdrawal to the House in which it happens."
"http://parliament.uk/ontologies/tabling/TablingOrWithdrawal","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/tabling/"
"http://parliament.uk/ontologies/tabling/withdraws","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/tabling/Withdrawal"
"http://parliament.uk/ontologies/tabling/inSession","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/tabling/TablingOrWithdrawal"
"http://parliament.uk/ontologies/tabling/TabledThing","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"n0f5185c4dbc94f08873d804a8d5f824bb3","http://xmlns.com/foaf/0.1/homepage","http://smethur.st/"
"http://parliament.uk/ontologies/tabling/replaces","http://www.w3.org/2000/01/rdf-schema#label","Replaces"
"http://parliament.uk/ontologies/tabling/withdrawnOn","http://www.w3.org/2000/01/rdf-schema#comment","Relates an act of withdrawal to the date on which it happened."
"http://parliament.uk/ontologies/tabling/tabledBy","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/tabling/Tabling"
"http://parliament.uk/ontologies/tabling/tables","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/tabling/TabledThing","http://www.w3.org/2000/01/rdf-schema#comment","Any item of business which has been tabled, for example: a motion, parliamentary question, amendment or committee membership nomination. Note not all things that can be tabled must be tabled, for example: manuscript amendments are amendments which are raised on the day the business occurs. In other words, no notice has been given. For this reason they do not appear on the day's business papers and are rarely selected for debate. Manuscript amendments do not appear on the marshalled list."
"http://parliament.uk/ontologies/tabling/withdrawnOn","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/tabling/Withdrawal"
"http://parliament.uk/ontologies/tabling/replaces","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/tabling/"
"http://parliament.uk/ontologies/tabling/Tabling","http://www.w3.org/2000/01/rdf-schema#label","Tabling"
"n0f5185c4dbc94f08873d804a8d5f824bb3","http://xmlns.com/foaf/0.1/name","Michael Smethurst"
"http://parliament.uk/ontologies/tabling/WithdrawnThing","http://www.w3.org/2000/01/rdf-schema#label","Withdrawn thing"
"http://parliament.uk/ontologies/tabling/","http://xmlns.com/foaf/0.1/maker","n0f5185c4dbc94f08873d804a8d5f824bb4"
"http://parliament.uk/ontologies/tabling/tabledBy","http://www.w3.org/2000/01/rdf-schema#comment","Relates a tabling to the seat incumbency of the Member tabling."
"http://parliament.uk/ontologies/tabling/SeatIncumbency","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/tabling/","http://purl.org/dc/terms/rights","Open Parliament Licence v3.0"
"http://parliament.uk/ontologies/tabling/inSession","http://www.w3.org/2000/01/rdf-schema#label","In session"
"http://parliament.uk/ontologies/tabling/inSession","http://www.w3.org/2000/01/rdf-schema#comment","Relates an act of tabling or withdrawal to the session in which it happens."
"http://parliament.uk/ontologies/tabling/WithdrawnThing","http://www.w3.org/2000/01/rdf-schema#comment","A tabled thing which has subsequently been withdrawn."
"http://parliament.uk/ontologies/tabling/replaces","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/tabling/WithdrawnThing"
"http://parliament.uk/ontologies/tabling/SeatIncumbency","http://www.w3.org/2000/01/rdf-schema#comment","The occupation of a seat in a House by a person, for a period of time.  A person may have more than one incumbency over time. Only one person can be incumbent in a house seat at one time. A person having a seat incumbency which has a start date in the past and an end date in the future - or which has no end date - is a current Member. A person having a seat incumbency with an end date in the past - and no current incumbency - is an ex-Member."
"http://parliament.uk/ontologies/tabling/TabledThing","http://www.w3.org/2000/01/rdf-schema#label","Tabled thing"
"http://parliament.uk/ontologies/tabling/givesNotice","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/tabling/"
"http://parliament.uk/ontologies/tabling/","http://xmlns.com/foaf/0.1/maker","n0f5185c4dbc94f08873d804a8d5f824bb1"
"http://parliament.uk/ontologies/tabling/Session","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/tabling/"
"http://parliament.uk/ontologies/tabling/inSession","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/tabling/"
"http://parliament.uk/ontologies/tabling/tabledBy","http://www.w3.org/2000/01/rdf-schema#label","Tabled by"
"http://parliament.uk/ontologies/tabling/WithdrawnThing","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/tabling/"
"http://parliament.uk/ontologies/tabling/SeatIncumbency","http://www.w3.org/2000/01/rdf-schema#label","Seat incumbency"
"http://parliament.uk/ontologies/tabling/tables","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/tabling/TabledThing"
"http://parliament.uk/ontologies/tabling/replaces","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/tabling/TabledThing"
"http://parliament.uk/ontologies/tabling/WithdrawnThing","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/tabling/withdrawnOn","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#date"
"http://parliament.uk/ontologies/tabling/","http://xmlns.com/foaf/0.1/maker","n0f5185c4dbc94f08873d804a8d5f824bb2"
"http://parliament.uk/ontologies/tabling/tabledBy","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/tabling/replaces","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/tabling/WrittenNotice","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/tabling/"
"http://parliament.uk/ontologies/tabling/replaces","http://www.w3.org/2000/01/rdf-schema#comment","Relates a tabled thing to the withdrawn thing it replaces."
"http://parliament.uk/ontologies/tabling/Withdrawal","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/tabling/withdraws","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/tabling/WithdrawnThing"
"http://parliament.uk/ontologies/tabling/tables","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/tabling/Tabling"
"http://parliament.uk/ontologies/tabling/withdraws","http://www.w3.org/2000/01/rdf-schema#label","Withdraws"
"http://parliament.uk/ontologies/tabling/","http://purl.org/dc/terms/description","A model describing the activity of Members tabling parliamentary questions, motions, amendments and nominations."
"http://parliament.uk/ontologies/tabling/Withdrawal","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/tabling/"
"http://parliament.uk/ontologies/tabling/givesNotice","http://www.w3.org/2000/01/rdf-schema#label","Gives notice"
"http://parliament.uk/ontologies/tabling/hasHouse","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/tabling/"
"http://parliament.uk/ontologies/tabling/Tabling","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/tabling/"
"http://parliament.uk/ontologies/tabling/","http://purl.org/dc/terms/title","Tabling ontology"
"http://parliament.uk/ontologies/tabling/Session","http://www.w3.org/2000/01/rdf-schema#comment","The period during which Parliament is convened. The first session of a parliament begins on the same day as the parliament period: this date is given in the dissolution proclamation at the end of the previous parliament. The session ends on the day set in a subsequent prorogation proclamation. Subsequent sessions within the parliament period begin and end on dates set in subsequent prorogation proclamations. The last session of a parliament ends with prorogation followed by dissolution. Session periods are the same for both Houses."
"http://parliament.uk/ontologies/tabling/givesNotice","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"n0f5185c4dbc94f08873d804a8d5f824bb1","http://xmlns.com/foaf/0.1/homepage","https://robert-brook.com/"
"http://parliament.uk/ontologies/tabling/TablingOrWithdrawal","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/tabling/Session","http://www.w3.org/2000/01/rdf-schema#label","Session"
"http://parliament.uk/ontologies/tabling/Tabling","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/tabling/inSession","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/tabling/TablingOrWithdrawal","http://www.w3.org/2000/01/rdf-schema#label","Tabling or withdrawal"
"http://parliament.uk/ontologies/tabling/Withdrawal","http://www.w3.org/2000/01/rdf-schema#label","Withdrawal"
"http://parliament.uk/ontologies/tabling/House","http://www.w3.org/2000/01/rdf-schema#label","House"
