id,name,geographiccode,isgeographiccodeissuedbyons,whollycontainedby
1,South East,E12000008,true,2
2,West Midlands,E12000005,true,2
3,North West,E12000002,true,2
4,East Midlands,E12000004,true,2
5,London,E12000007,true,2
6,Yorkshire and The Humber,E12000003,true,2
7,East of England,E12000006,true,2
8,South West,E12000009,true,2
9,North East,E12000001,true,2
