id,name,geographic_code,country_id,isgeographiccodeissuedbyons
1,South East,E12000008,2,true
2,West Midlands,E12000005,2,true
3,North West,E12000002,2,true
4,East Midlands,E12000004,2,true
5,London,E12000007,2,true
6,Yorkshire and The Humber,E12000003,2,true
7,East of England,E12000006,2,true
8,South West,E12000009,2,true
9,North East,E12000001,2,true
