id,label,candidategivenname,candidatefamilyname,issittingmp,isformermp,isstandingascommonsspeaker,isstandingasindependent,isnotionalpoliticalpartyaggregate,votecount,votechange,iswinningcandidacy,democracyclubpersonidentifier,inelection,ofmember,havinggender
5612,beep,Andy,Nash,false,false,false,false,false,1063,-0.011644,false,,970,,1
5629,beep,Greg,Mulholland,true,true,false,false,false,16192,-0.018012,false,,973,415,1
5648,beep,David,Bowley,false,false,false,true,false,121,,false,,977,,1
5662,beep,Keith,Forster,false,false,false,false,false,798,-0.073628,false,,980,,1
5684,beep,Ashley,Gunstock,false,false,false,false,false,1351,-0.043806,false,,983,,1
5700,beep,Sally,Pattle,false,false,false,false,false,1926,0.01401,false,,986,,2
5713,beep,Adam,Heatherington,false,false,false,true,false,216,,false,,989,,1
5753,beep,Andrew,Strange,false,false,false,false,false,1056,-0.052508,false,,997,,1
5776,beep,Allen,Simpson,false,false,false,false,false,11433,0.11573,false,,1000,,1
5791,beep,Lucy,Powell,true,true,false,false,false,38490,0.161486,true,,1003,452,2
5802,beep,Jackie,Pearcey,false,false,false,false,false,2597,0.014105,false,,1004,,2
5815,beep,George,Hollingbery,true,true,false,false,false,35624,0.046774,true,,1007,457,1
5830,beep,Lisa,French,false,false,false,false,false,3788,-0.012223,false,,1010,,2
5842,beep,Hannah,Lester,false,false,false,false,false,1158,-0.021162,false,,1013,,2
5867,beep,Simon,Clarke,false,false,false,false,false,23643,0.125956,true,,1018,468,1
5880,beep,Graham,Findlay,false,false,false,false,false,1179,-0.014576,false,,1021,,1
5897,beep,Carole,Damon,false,false,false,false,false,1338,-0.012602,false,,1024,,2
5912,beep,Robert,Gillespie,false,false,false,false,false,1333,-0.094711,false,,1027,,1
5941,beep,Janet,Richards,false,false,false,false,false,1454,-0.028664,false,,1033,,2
5962,beep,Wendy,Taylor,false,false,false,false,false,2574,-0.048628,false,,1037,,2
5984,beep,Mickey,Brady,true,true,false,false,false,25666,0.06826,true,,1042,500,1
6003,beep,Ian,Paisley,true,true,false,false,false,28521,0.156471,true,,1045,504,1
6006,beep,Christopher,Rimicans,false,false,false,false,false,13040,-0.004802,false,,1046,,1
6038,beep,Julian,Vaughan,false,false,false,false,false,18277,0.126995,false,,1052,,1
6054,beep,Mike,Scott-Hayward,false,false,false,false,false,224,,false,,1055,,1
6076,beep,Stephen,Burke,false,false,false,false,false,5180,-0.0028,false,,1060,,1
6094,beep,Roger,Gale,true,true,false,false,false,27163,0.072323,true,,1064,528,1
6109,beep,Iain,Ramsbottom,false,false,false,false,false,19521,0.126221,false,,1067,,1
6122,beep,Alex,Payton,false,false,false,false,false,5708,0.003797,false,,1069,,1
6137,beep,Lisa,Tweedie,false,false,false,true,false,376,,false,,1072,,2
6148,beep,Adrian,Holmes,false,false,false,false,false,782,-0.027442,false,,1075,,1
6164,beep,Kirsty,Jones,false,false,false,false,false,538,-0.016744,false,,1078,,2
6182,beep,Glenda,Davies,false,false,false,false,false,1235,-0.120564,false,,1082,,2
6212,beep,Joseph,Johnson,true,true,false,false,false,31762,0.055281,true,,1087,558,1
6233,beep,Wayne,Blackburn,false,false,false,false,false,20707,0.112369,false,,1092,,1
6241,beep,Jonathan,Davies,false,false,false,true,false,412,,false,,1094,,1
6261,beep,Henrietta,Bewley,false,false,false,false,false,1244,-0.017573,false,,1098,,2
6282,beep,Christopher,Wilford,false,false,false,false,false,11846,-0.052523,false,,1101,,1
6299,beep,Philippa,Thompson,false,false,false,false,false,17988,0.144848,false,,1104,,2
6310,beep,Michael,Wharton,false,false,false,true,false,291,,false,,1106,,1
6324,beep,Matt,Rodda,false,false,false,false,false,27093,0.159805,true,,1109,589,1
6331,beep,Jamie,Whitham,false,false,false,false,false,979,-0.010135,false,,1110,,1
6345,beep,Jonathan,Essex,false,false,false,false,false,2214,-0.025741,false,,1113,,1
6366,beep,Christopher,Baksa,false,false,false,false,false,1641,-0.154728,false,,1118,,1
10805,beep,,,false,false,false,false,false,350,,false,,1989,,
6374,beep,Primerose,Chiguri,false,false,false,true,false,129,,false,,1119,,2
6402,beep,Jake,Berry,true,true,false,false,false,25499,0.042357,true,,1124,607,1
6409,beep,Katie,Pruszynski,false,false,false,false,false,1155,-0.019027,false,,1125,,2
6429,beep,Kenneth,Clarke,true,true,false,false,false,30223,0.004312,true,,1130,613,1
6445,beep,Kemi,Badenoch,false,false,false,false,false,37629,0.045771,true,,1133,892,2
6466,beep,Robert,Lockwood,false,false,false,false,false,1354,-0.018386,false,,1136,,1
6480,beep,Jade,Marsden,false,false,false,false,false,17212,0.034441,false,,1139,,2
6493,beep,Dominic,Cook,false,false,false,false,false,1060,-0.052476,false,,1142,,1
6516,beep,Howard,Denby,false,false,false,false,false,1977,-0.129266,false,,1146,,1
6533,beep,Hannah,Fraser,false,false,false,false,false,4254,-0.005799,false,,1149,,2
6549,beep,Paul,Coyne,false,false,false,true,false,900,,false,,1152,,1
6564,beep,Sean,Dromgoole,false,false,false,false,false,10998,0.098862,false,,1155,,1
6582,beep,Susan,van de Ven,false,false,false,false,false,12102,0.034176,false,,1158,,2
6601,beep,Phil,Hutty,false,false,false,false,false,10346,0.025647,false,,1163,,1
6608,beep,Daniel,Wilshire,false,false,false,false,false,894,-0.014341,false,,1164,,1
6623,beep,Nigel,Wickens,false,false,false,false,false,1363,-0.113827,false,,1167,,1
6636,beep,Claire,McIlvenna,false,false,false,false,false,1182,-0.003043,false,,1170,,2
6654,beep,Trevor,Roper,false,false,false,false,false,809,-0.005521,false,,1173,,1
6669,beep,Christopher,Townsend,false,false,false,false,false,7078,0.014159,false,,1176,,1
6684,beep,Christopher,Walford,false,false,false,false,false,1445,-0.031408,false,,1179,,1
6700,beep,John,Stansfield,false,false,false,false,false,1666,-0.14001,false,,1182,,1
6721,beep,Rachel,Parkinson,false,false,false,false,false,1220,-0.0138,false,,1187,,2
6735,beep,Karen,Bradley,true,true,false,false,false,25963,0.070224,true,,1191,687,2
6774,beep,Ben,Adams,false,false,false,false,false,18913,0.178569,false,,1199,,1
6787,beep,Christopher,Bramall,false,false,false,false,false,1083,-0.010437,false,,1202,,1
6806,beep,Alex,Davies,false,false,false,false,false,3611,-0.025221,false,,1205,,1
6824,beep,James,Sandbach,false,false,false,false,false,4048,-0.016222,false,,1208,,1
6839,beep,Paul,Scully,true,true,false,false,false,26567,0.095769,true,,1211,709,1
6855,beep,Michael,O'Carroll,false,false,false,false,false,1269,-0.056359,false,,1214,,1
6868,beep,Clive,Martin,false,false,false,false,false,1151,-0.027179,false,,1217,,1
6887,beep,Dylan,Harrison,false,false,false,false,false,17887,0.100693,false,,1221,,1
