id,given_name,family_name,mnis_id,label
750,David,Winnick,316,"Winnick, David"
751,Valerie,Vaz,4076,"Vaz, Valerie"
752,Stella,Creasy,4088,"Creasy, Stella"
753,Ian,Lavery,4139,"Lavery, Ian"
754,Edward,Vaizey,1580,"Vaizey, Edward"
755,John,Spellar,318,"Spellar, John"
756,David,Mowat,4080,"Mowat, David"
757,Chris,White,4114,"White, Chris"
758,Sharon,Hodgson,1521,"Hodgson, Sharon"
759,Richard,Harrington,4068,"Harrington, Richard"
760,Peter,Aldous,4069,"Aldous, Peter"
761,Bob,Blizzard,138,"Blizzard, Bob"
762,Nusrat,Ghani,4460,"Ghani, Nusrat"
763,Graham,Evans,4081,"Evans, Graham"
764,Peter,Bone,1581,"Bone, Peter"
765,James,Heappey,4528,"Heappey, James"
766,Tessa,Munt,4089,"Munt, Tessa"
767,Grant,Shapps,1582,"Shapps, Grant"
768,John,Healey,400,"Healey, John"
769,Stuart,Donaldson,4377,"Donaldson, Stuart"
770,Tom,Watson,1463,"Watson, Tom"
771,Adrian,Bailey,320,"Bailey, Adrian"
772,Oliver,Letwin,247,"Letwin, Oliver"
773,Gemma,Doyle,4063,"Doyle, Gemma"
774,Martin,Docherty,4374,"Docherty, Martin"
775,Lyn,Brown,1583,"Brown, Lyn"
776,Rosie,Cooper,1538,"Cooper, Rosie"
777,Matthew,Hancock,4070,"Hancock, Matthew"
778,Pat,Doherty,1465,"Doherty, Pat"
779,Harriett,Baldwin,4107,"Baldwin, Harriett"
780,Karen,Buck,199,"Buck, Karen"
781,Tim,Farron,1591,"Farron, Tim"
782,John,Penrose,1584,"Penrose, John"
783,Lisa,Nandy,4082,"Nandy, Lisa"
784,Stephen,Hammond,1585,"Hammond, Stephen"
785,Steve,Brine,4067,"Brine, Steve"
786,Adam,Afriyie,1586,"Afriyie, Adam"
787,Alison,McGovern,4083,"McGovern, Alison"
788,Esther,McVey,4084,"McVey, Esther"
789,Margaret,Greenwood,4400,"Greenwood, Margaret"
790,Priti,Patel,4066,"Patel, Priti"
791,David,Cameron,1467,"Cameron, David"
792,Jonathan,Lord,4090,"Lord, Jonathan"
793,John,Redwood,14,"Redwood, John"
794,Emma,Reynolds,4077,"Reynolds, Emma"
795,Pat,McFadden,1587,"McFadden, Pat"
796,Paul,Uppal,4078,"Uppal, Paul"
797,Rob,Marris,1468,"Marris, Rob"
798,Robin,Walker,4091,"Walker, Robin"
799,Sue,Hayman,4395,"Hayman, Sue"
800,Mark,Jenkinson,4752,"Jenkinson, Mark"
801,Barbara,Keeley,1588,"Keeley, Barbara"
802,Peter,Bottomley,117,"Bottomley, Peter"
803,Ian,Lucas,1470,"Lucas, Ian"
804,Steve,Baker,4064,"Baker, Steve"
805,Ben,Wallace,1539,"Wallace, Ben"
806,Mark,Garnier,4074,"Garnier, Mark"
807,Richard,Taylor,1472,"Taylor, Richard"
808,Mike,Kane,4316,"Kane, Mike"
809,Marcus,Fysh,4446,"Fysh, Marcus"
810,David,Laws,1473,"Laws, David"
811,Albert,Owen,1474,"Owen, Albert"
