id,title,uri,url_key,made_on,royal_assent_on,statute_book_on,legislation_type_id,enabled_by
60,"Parliamentary Constituencies (Bethnal Green, Hackney and Stoke Newington) Order 1955",,uksi-1955-20,1955-01-05,,1955-01-05,2,2
61,Parliamentary Constituencies (Harborough and Leicester South East) Order 1955,,uksi-1955-19,1955-01-05,,1955-01-05,2,2
62,Parliamentary Constituencies (Bosworth and Loughborough) Order 1955,,uksi-1955-18,1955-01-05,,1955-01-05,2,2
63,Parliamentary Constituencies (Warrington and Newton) Order 1955,,uksi-1955-17,1955-01-05,,1955-01-05,2,2
64,"Parliamentary Constituencies (Manchester, Oldham and Ashton under Lyne) Order 1955",,uksi-1955-16,1955-01-05,,1955-01-05,2,2
65,Parliamentary Constituencies (Liverpool and South-West Lancashire) Order 1955,,uksi-1955-15,1955-01-05,,1955-01-05,2,2
66,"Parliamentary Constituencies (Blackburn, Chorley and Darwen) Order 1955",,uksi-1955-14,1955-01-05,,1955-01-05,2,2
67,Parliamentary Constituencies (North Kent) Order 1955,,uksi-1955-13,1955-01-05,,1955-01-05,2,2
68,Parliamentary Constituencies (Hertfordshire) Order 1955,,uksi-1955-12,1955-01-05,,1955-01-05,2,2
69,Parliamentary Constituencies (Hampshire) Order 1955,,uksi-1955-11,1955-01-05,,1955-01-05,2,2
70,Parliamentary Constituencies (Gloucestershire) Order 1955,,uksi-1955-10,1955-01-05,,1955-01-05,2,2
71,"Parliamentary Constituencies (Chelmsford, Chigwell and Woodford) Order 1955",,uksi-1955-9,1955-01-05,,1955-01-05,2,2
72,"Parliamentary Constituencies (Billericay, South East Essex, Romford and Southend) Order 1955",,uksi-1955-8,1955-01-05,,1955-01-05,2,2
73,Parliamentary Constituencies (Gateshead and Jarrow) Order 1955,,uksi-1955-7,1955-01-05,,1955-01-05,2,2
74,Parliamentary Constituencies (Plymouth) Order 1955,,uksi-1955-6,1955-01-05,,1955-01-05,2,2
75,Parliamentary Constituencies (Derby and South East Derbyshire) Order 1955,,uksi-1955-5,1955-01-05,,1955-01-05,2,2
76,"Parliamentary Constituencies (Crewe, Knutsford, Nantwich and Northwich) Order 1955",,uksi-1955-4,1955-01-05,,1955-01-05,2,2
77,"Parliamentary Constituencies (Reading, Newbury and Wokingham) Order 1955",,uksi-1955-3,1955-01-05,,1955-01-05,2,2
78,Parliamentary Constituencies (Bedford and Mid-Bedfordshire) Order 1955,,uksi-1955-2,1955-01-05,,1955-01-05,2,2
79,House of Commons (Redistribution of Seats) Order 1945,,uksi-1945-701,1945-06-11,,1945-06-11,2,5
