id,name,geographiccode,parentcountry,isgeographiccodeissuedbyons
1,Great Britain,K03000001,,true
2,England,E92000001,1,true
3,Ireland,,,false
4,Northern Ireland,N92000002,,true
5,Scotland,S92000003,1,true
6,Wales,W92000004,1,true
