id,label,state,created_at,updated_at
1,Unpublished,0,2025-10-28 08:18:11.387975,2025-10-28 08:18:11.387975
2,Pre-election candidates,1,2025-10-28 08:18:11.414049,2025-10-28 08:18:11.414049
3,Post-election winners,2,2025-10-28 08:18:11.445076,2025-10-28 08:18:11.445076
4,Post-election votes,3,2025-10-28 08:18:11.465113,2025-10-28 08:18:11.465113
