"Subject","Predicate","Object"
"http://parliament.uk/ontologies/laying/lays","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/laying/Laying"
"http://parliament.uk/ontologies/laying/LayingDuty","http://www.w3.org/2000/01/rdf-schema#comment","The duty of a body to lay papers before a House as imposed by an Act of Parliament."
"http://parliament.uk/ontologies/laying/hasLayingBody","http://www.w3.org/2000/01/rdf-schema#label","Has laying body"
"http://parliament.uk/ontologies/laying/Session","http://www.w3.org/2000/01/rdf-schema#comment","The period during which Parliament is convened. The first session of a parliament begins on the same day as the parliament period: this date is given in the dissolution proclamation at the end of the previous parliament. The session ends on the day set in a subsequent prorogation proclamation. Subsequent sessions within the parliament period begin and end on dates set in subsequent prorogation proclamations. The last session of a parliament ends with prorogation followed by dissolution. Session periods are the same for both Houses."
"http://parliament.uk/ontologies/laying/Session","http://www.w3.org/2000/01/rdf-schema#label","Session"
"http://parliament.uk/ontologies/laying/Person","http://www.w3.org/2000/01/rdf-schema#label","Person"
"http://parliament.uk/ontologies/laying/withdraws","http://www.w3.org/2000/01/rdf-schema#label","Withdraws"
"http://parliament.uk/ontologies/laying/","http://xmlns.com/foaf/0.1/maker","n4eb03fcd4e82470694c5962f7903f709b4"
"http://parliament.uk/ontologies/laying/hasSession","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/laying/","http://xmlns.com/foaf/0.1/depiction","https://ukparliament.github.io/ontologies/laying/laying.png"
"http://parliament.uk/ontologies/laying/Laying","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/laying/"
"http://parliament.uk/ontologies/laying/laidOn","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#date"
"http://parliament.uk/ontologies/laying/LayingAuthority","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/laying/hasLayingPerson","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/laying/lays","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/laying/"
"http://parliament.uk/ontologies/laying/replaces","http://www.w3.org/2000/01/rdf-schema#label","Replaces"
"http://parliament.uk/ontologies/laying/LayingBody","http://www.w3.org/2000/01/rdf-schema#label","Laying body"
"http://parliament.uk/ontologies/laying/LaidPaper","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/laying/"
"http://parliament.uk/ontologies/laying/WithdrawnPaper","http://www.w3.org/2000/01/rdf-schema#label","Withdrawn paper"
"http://parliament.uk/ontologies/laying/LayingOrWithdrawal","http://www.w3.org/2000/01/rdf-schema#comment","The act of laying a paper before a House or withdrawing a paper from a House."
"http://parliament.uk/ontologies/laying/","http://xmlns.com/foaf/0.1/maker","n4eb03fcd4e82470694c5962f7903f709b3"
"http://parliament.uk/ontologies/laying/replaces","http://www.w3.org/2000/01/rdf-schema#comment","Relates a laid paper to the withdrawn paper being replaced."
"http://parliament.uk/ontologies/laying/Laying","http://www.w3.org/2000/01/rdf-schema#label","Laying"
"n4eb03fcd4e82470694c5962f7903f709b1","http://xmlns.com/foaf/0.1/name","Robert Brook"
"http://parliament.uk/ontologies/laying/Session","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/laying/hasLayingBody","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/laying/hasHouse","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/laying/"
"http://parliament.uk/ontologies/laying/WithdrawnPaper","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/laying/"
"http://parliament.uk/ontologies/laying/LayingOrWithdrawal","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/laying/withdraws","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/laying/Withdrawal"
"http://parliament.uk/ontologies/laying/Withdrawal","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/laying/LayingOrWithdrawal"
"http://parliament.uk/ontologies/laying/Withdrawal","http://www.w3.org/2000/01/rdf-schema#label","Withdrawal"
"http://parliament.uk/ontologies/laying/laidOn","http://www.w3.org/2000/01/rdf-schema#comment","Relates an act of laying a paper to the date on which the laying occurs. This date falls within a parliamentary session or prorogation period, and not during a dissolution period."
"http://parliament.uk/ontologies/laying/hasSession","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/laying/LayingOrWithdrawal"
"http://parliament.uk/ontologies/laying/lays","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/laying/LaidPaper"
"http://parliament.uk/ontologies/laying/hasLayingBody","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/laying/LayingBody"
"http://parliament.uk/ontologies/laying/LayingDuty","http://www.w3.org/2000/01/rdf-schema#label","Laying duty"
"http://parliament.uk/ontologies/laying/","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Ontology"
"http://parliament.uk/ontologies/laying/hasHouse","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/laying/House"
"http://parliament.uk/ontologies/laying/hasLayingAuthority","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/laying/Person","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/laying/"
"http://parliament.uk/ontologies/laying/hasSession","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/laying/"
"n4eb03fcd4e82470694c5962f7903f709b1","http://xmlns.com/foaf/0.1/homepage","https://robert-brook.com/"
"http://parliament.uk/ontologies/laying/withdrawnOn","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#date"
"http://parliament.uk/ontologies/laying/laidOn","http://www.w3.org/2000/01/rdf-schema#label","Laid on"
