Parliament,Polling,Opening,State opening,Dissolution,Wikidata - parliamentary term,Wikidata - election,Opening HL Deb,State opening HL Deb,Dissolution HC Journals,(London Gazette)
41,26/05/1955,07/06/1955,09/06/1955,18/09/1959,Q21084458,Q918412,vol 193 c1,vol 193 cc5-9,vol 215,issue 41821
42,08/10/1959,20/10/1959,27/10/1959,25/09/1964,Q21084459,Q918420,vol 219 cc1-2,vol 219 cc10-14,vol 220,issue 43445
43,15/10/1964,27/10/1964,03/11/1964,10/03/1966,Q21084460,Q220208,vol 261 cc1-2,vol 261 cc9-13,vol 222,issue 43921
44,31/03/1966,18/04/1966,21/04/1966,29/05/1970,Q21084461,Q918430,vol 274 cc1-2,vol 274 cc9-13,vol 226,issue 45111
45,18/06/1970,29/06/1970,02/07/1970,08/02/1974,Q21084462,Q918442,vol 311 cc1-2,vol 311 cc9-13,vol 230,issue 46205
46,28/02/1974,06/03/1974,12/03/1974,20/09/1974,Q21084463,Q119524,vol 350 cc1-2,vol 350 cc7-12,vol 231,issue 46348
47,10/10/1974,22/10/1974,29/10/1974,07/04/1979,Q21084464,Q918508,vol 354 cc1-2,vol 354 cc7-11,vol 236,issue 47813
48,03/05/1979,09/05/1979,15/05/1979,13/05/1983,Q21084465,Q918450,vol 400 cc1-2,vol 400 cc5-10,vol 240,issue 49349
49,09/06/1983,15/06/1983,22/06/1983,18/05/1987,Q21084466,Q918466,vol 443 cc1-2,vol 443 cc5-7,vol 244,issue 50922
50,11/06/1987,17/06/1987,25/06/1987,16/03/1992,Q21084467,Q918472,vol 488 cc1-2,vol 488 cc7-9,vol 249,
51,09/04/1992,27/04/1992,06/05/1992,08/04/1997,Q21084468,Q543609,vol 537 cc1-2,vol 537 cc7-10,vol 254,issue 54729
52,01/05/1997,07/05/1997,14/05/1997,14/05/2001,Q21084469,Q918503,vol 580 cc1-2,vol 580 cc5-9,vol 257,issue 56202
53,07/06/2001,13/06/2001,20/06/2001,11/04/2005,Q21084470,Q590740,vol 626 cc1-2,vol 626 cc5-7,vol 262,issue 57609
54,05/05/2005,11/05/2005,17/05/2005,12/04/2010,Q21084471,Q428598,vol 672 cc1-2,vol 672 c8,vol 267,issue 59388
55,06/05/2010,18/05/2010,25/05/2010,30/03/2015,Q21084472,Q215622,vol 719 cc1-2,vol 719 cc5-7,,issue 61188
56,07/05/2015,18/05/2015,27/05/2015,03/05/2017,Q21084473,Q3586935,vol 762 cc1-2,vol 762 cc5-7,,issue 61920
57,08/06/2017,13/06/2017,21/06/2017,05/11/2019,Q29974940,Q25052149,vol 783 cc1-2,vol 783 cc5-7,,issue 62821
58,12/12/2019,17/12/2019,19/12/2019,30/05/2024,Q77685395,Q30173038,vol 801 cc1-2,vol 801 cc7-9,,issue 64411
59,04/07/2024,09/07/2024,17/07/2024,,Q126063704,Q78851988,vol 839 cc1-2,,,
