id,procedure_statutory_instrument_name,statutory_instrument_number,statutory_instrument_number_prefix,statutory_instrument_number_year,coming_into_force_note,coming_into_force_date,made_date,web_link,triple_store_id,acts_string,preceding_work_packaged_thing_string
4105,Environmental Authorisations (Scotland) Regulations 2018 (Consequential Modifications) Order 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348224290,YlKTzMcK,1289,
3936,Proceeds of Crime Act 2002 (Recovery of Listed Assets: Code of Practice) Regulations 2021,,SI,2021,,2021-06-28 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2021/9780348221640,bAirMb02,1358,
1898,Pharmacy (Preparation and Dispensing Errors ? Registered Pharmacies) Order 2018,,SI,2018,,,,https://www.legislation.gov.uk/ukdsi/2018/9780111161524,1KYKLRLE,1270,
3817,Direct Payments to Farmers (Reductions and Simplifications) (England) (Amendment) Regulations 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348220438,l1Hxe5xm,10,
2108,Social Security Benefits Up-rating Order 2018,,SI,2018,in accordance with article 1(2) and (3).,,,https://www.legislation.gov.uk/ukdsi/2018/9780111164327,ZfkCfOkU,528,
3935,Proceeds of Crime Act 2002 (Investigative Powers of Prosecutors: Code of Practice) Order 2021,,SI,2021,,2021-06-28 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2021/9780348221794,JDjlDEjK,1358,
4223,Internal Market Information System Regulation (Amendment etc.) Regulations 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348226126,390SFgFv,1,
4047,Financial Markets and Insolvency (Transitional Provision) (EU Exit) (Amendment) Regulations 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348223514,yoSfTSDT,1,
1811,Scotland Act 1998 (Specification of Devolved Tax) (Wild Fisheries) Order 2017,,SI,2017,,,,https://www.legislation.gov.uk/ukdsi/2017/9780111160244,TwbmTl6K,1289,
2038,Legal Services Act 2007 (Appeals from Licensing Authority Decisions) (General Council of the Bar) Order 2018,,SI,2018,in accordance with article 1,,,https://www.legislation.gov.uk/ukdsi/2018/9780111163719,tVj2JmpI,847,
2025,Terrorism Act 2000 (Proscribed Organisations) (Amendment) Order 2017,,SI,2017,in accordance with article 1(1),,,https://www.legislation.gov.uk/ukdsi/2017/9780111163504,hTPxqHkt,176,
4188,Organics (Equivalence and Control Bodies Listing) (Amendment) Regulations 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348225570,R6m4FRKK,10,
1742,Torridge (Electoral Changes) Order 2017,,SI,2017,in accordance with article 1(2) and (3).,,,https://www.legislation.gov.uk/ukdsi/2017/9780111158869,QTMyFy8t,949,
1857,Proceeds of Crime Act 2002 (Recovery of Listed Assets: Code of Practice) (England and Wales and Scotland) Regulations 2018,,SI,2018,,2018-04-16 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2018/9780111160855,JSIWkoEv,1358,
1782,Charitable Incorporated Organisations (Consequential Amendments) Order 2017,,SI,2017,,2018-01-01 00:00:00+00,,https://www.legislation.gov.uk/ukdsi/2017/9780111159880,EH2qHIcx,38,
4048,Calorie Labelling (Out of Home Sector) (England) Regulations 2021,,SI,2021,,2022-04-06 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2021/9780348223538,uFGyH5l4,"1080, 1230",
4154,Health and Social Care Act 2008 (Regulated Activities) (Amendment) (Coronavirus) Regulations 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348224993,st4lp11z,1265,
3824,Whiplash Injury Regulations 2021,,SI,2021,,2021-05-31 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2021/9780348220612,kXIRkJEV,1076,
1755,African Development Fund (Multilateral Debt Relief Initiative) (Amendment) Order 2017,,SI,2017,in accordance with Article 1.,,,https://www.legislation.gov.uk/ukdsi/2017/9780111158685,LSd63bRr,1307,
2063,Financial Services and Markets Act 2000 (Carrying on Regulated Activities by Way of Business) (Amendment) Order 2018,,SI,2018,in accordance with article 1.,,,https://www.legislation.gov.uk/ukdsi/2018/9780111163832,S1j4tidU,1282,
1913,European Parliamentary Elections Act 2002 (Amendment) Regulations 2017,,SI,2017,,,,https://www.legislation.gov.uk/ukdsi/2017/9780111161791,pCKsZ2bR,757,
4099,Health Security (EU Exit) Regulations 2021,,SI,2021,,2021-09-01 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2021/9780348224375,JXdtVCvg,"1, 12",
1718,Pension Schemes Act 2015 (Transitional Provisions and Appropriate Independent Advice) (Amendment No. 2) Regulations 2017,,SI,2017,,2018-04-06 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2017/9780111158739,xweBVDun,1225,
1992,European Parliamentary Elections (Amendment) Regulations 2018,,SI,2018,in accordance with regulation 1(2),,,https://www.legislation.gov.uk/ukdsi/2018/9780111163016,rDKZDNId,"784, 757",
2099,Immigration and Nationality (Fees) (Amendment) Order 2018,,SI,2018,in accordance with article 1.,,,https://www.legislation.gov.uk/ukdsi/2018/9780111164167,8GFwA403,1300,
3828,"Food and Drink (Miscellaneous Amendments Relating to Food and Wine Composition, Information and Labelling) Regulations 2021",,SI,2021,2021,,,https://www.legislation.gov.uk/ukdsi/2021/9780348220544,5Ghd6uVF,1,3680
3900,Double Taxation Relief (Sweden) Order 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348221459,pqLCq5bH,1219,
1762,Allerdale (Electoral Changes) Order 2017,,SI,2017,in accordance with article 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2017/9780111159040,7LxGwDHC,949,
2098,Policing and Crime Act 2017 (Consequential Amendments) Regulations 2018,,SI,2018,in accordance with regulation 1.,,,https://www.legislation.gov.uk/ukdsi/2018/9780111164143,WktXMvE0,990,
1804,Tendring (Electoral Changes) Order 2017,,SI,2017,in accordance with article 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2017/9780111160077,DPYo8njg,949,
2178,Insolvency of Registered Providers of Social Housing Regulations 2018,,SI,2018,in accordance with regulation 1,,,https://www.legislation.gov.uk/ukdsi/2018/9780111165423,wwJIJlMF,1026,
3827,Nuclear Safeguards (Fissionable Material and Relevant International Agreements) (EU Exit) (Amendment) Regulations 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348220469,B6mRSPlP,863,
1788,Government Resources and Accounts Act 2000 (Audit of Public Bodies) Order 2017,,SI,2017,Coming into force in accordance with article 1.,,,https://www.legislation.gov.uk/ukdsi/2017/9780111159927,f0rL3OwM,167,
3785,Recognised Auction Platforms (Amendment and Miscellaneous Provisions) Regulations 2021,,SI ,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348220032,V9Ty9vsx,"1, 1282",
3786,Corporate Insolvency and Governance Act 2020 (Coronavirus) (Change of Expiry Date) Regulations 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348220070,pKBNjnqs,1311,
3826,Greenhouse Gas Emissions (Kyoto Protocol Registry) Regulations 2021,,SI,2021,,2021-05-01 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2021/9780348220551,9rgeHBaV,1,
4147,Electricity Capacity (Amendment) Regulations 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348224870,HR4eaEzn,863,
1848,Electronic Communications Code (Jurisdiction) Regulations 2017,,SI,2017,in accordance with regulation 1(1).,,,https://www.legislation.gov.uk/ukdsi/2017/9780111160763,ELiNncU1,2,
1862,Bolsover (Electoral Changes) Order 2017,,SI,2017,in accordance with article 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2017/9780111160886,IIPmDGJQ,949,
4133,Fisheries Act 2020 (Scheme for Financial Assistance) (England) Regulations 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348224696,DVjaTy0s,1345,
4150,Motor Fuel (Composition and Content) and the Biofuel (Labelling) (Amendment) (No. 2) Regulations 2021,,SI,2021,in accordance with regulation 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2021/9780348224856,zvx2iVDo,1016,4480
3991,Carbon Budget Order 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348222616,f0PehAJ5,1350,
1866,Surrey Heath (Electoral Changes) Order 2017,,SI,2017,in accordance with article 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2017/9780111160947,FSRDJDJH,949,
3992,Coronavirus Act 2020 (Early Expiry) Regulations 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348222708,tfhoeYXM,1326,
1753,Small Business Commissioner (Scope and Scheme) Regulations 2017,,SI,2017,in accordance with regulation 1(2).,,,https://www.legislation.gov.uk/ukdsi/2017/9780111159217,X1GnvvPb,882,
2109,"Social Security (Contributions) (Rates, Limits and Thresholds Amendments and National Insurance Funds Payments) Regulations 2018",,SI,2018,,2018-04-06 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2018/9780111164358,QQSrMx4E,"589, 529, 527, 528, 286",
4084,Criminal Justice (Electronic Commerce) (Amendment) (EU Exit) Regulations 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348224092,ox4304eM,1,3881
4135,European Union (Future Relationship) Act 2020 (References to the Trade and Cooperation Agreement) Regulations 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348224672,qHKl23ei,12,
3808,Extradition Act 2003 (Codes of Practice and Transit Code of Practice) Order 2021,,SI,2021,,2021-05-01 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2021/9780348220322,GRQLlmzX,843,
1748,Banking Act 2009 (Service Providers to Payment Systems) Order 2017,,SI,2017,in accordance with article 1,,,https://www.legislation.gov.uk/ukdsi/2017/9780111159187,diNZfB7G,"1282, 1034, 25, 862",
4200,Capital Requirements Regulation (Amendment) Regulations 2021,,SI,2021,,2022-01-01 00:00:00+00,,https://www.legislation.gov.uk/ukdsi/2021/9780348225846,kXXWEcYI,"1383, 1",
3841,Agriculture (Financial Assistance) Regulations 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348220667,K9bZFcYL,10,
4157,London Borough of Havering (Electoral Changes) Order 2021,,SI,2021,in accordance with article 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2021/9780348225112,U7Myq85A,949,
3916,Combined Heat and Power Quality Assurance (Temporary Modifications) Regulations 2021,,SI,2021,in accordance with regulation 1(2),,,https://www.legislation.gov.uk/ukdsi/2021/9780348221732,7HUa0Ewf,"215, 863",
1793,Scottish Banknote (Designation of Authorised Bank) Regulations 2017,,SI,2017,in accordance with regulation 1,,,https://www.legislation.gov.uk/ukdsi/2017/9780111160091,7Q3GGsS2,25,
4143,North Kesteven (Electoral Changes) Order 2021,,SI,2021,in accordance with article 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2021/9780348224764,aFrwUcJr,949,
4049,Public Procurement (International Trade Agreements) (Amendment) Regulations 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348223507,gHIYkX5s,1375,
4149,"Occupational Pension Schemes (Administration, Investment, Charges and Governance) (Amendment) Regulations 2021",,SI,2021,,2021-10-01 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2021/9780348224788,sJsIEMvL,"452, 107, 1061, 908",
4065,Local Elections (Northern Ireland) (Amendment) Order 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348223668,caQqx7QH,1052,
2105,Guaranteed Minimum Pensions Increase Order 2018,,SI,2018,,2018-04-06 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2018/9780111164310,ASRFDPoZ,452,
4141,Medical Devices (Coronavirus Test Device Approvals) (Amendment) Regulations 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348224795,RXWRJm79,24,
4082,Mid Devon (Electoral Changes) Order 2021,,SI,2021,in accordance with article 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2021/9780348224016,ARKE7T61,949,
1808,Double Taxation Relief and International Tax Enforcement (Colombia) Order 2017,,SI,2017,,,,https://www.legislation.gov.uk/ukdsi/2017/9780111160183,ns2XYxUV,"338, 1219",
4109,Occupational Pension Schemes (Climate Change Governance and Reporting) Regulations 2021,,SI,2021,,2021-10-01 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2021/9780348224382,GDmGHvnE,107,
1961,Co-operative and Community Benefit Societies Act 2014 (Amendments to Audit Requirements) Order 2017,,SI,2017,,2018-04-06 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2017/9780111162491,HN7TkCqm,1283,
4071,Customs Safety and Security Procedures (EU Exit) Regulations 2021,,SI,2021,in accordance with regulation 1,,,https://www.legislation.gov.uk/ukdsi/2021/9780348223897,YWYFbMky,1,
1910,Tewkesbury (Electoral Changes) Order 2018,,SI,2018,in accordance with article 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2018/9780111161579,K8vgFKK7,949,
1847,Communications Act 2003 and the Digital Economy Act 2017 (Consequential Amendments to Primary Legislation) Regulations 2017,,SI,2017,in accordance with regulation 1(1) and (2).,,,https://www.legislation.gov.uk/ukdsi/2017/9780111160787,BwTBq1fY,"19, 2",
4046,"Common Organisation of the Markets in Agricultural Products (Fruit and Vegetable Producer Organisations, Tariff Quotas and Wine) (Amendment etc.) Regulations 2021",,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348223477,2kJ2dv3x,1,
1810,Scotland Act 1998 (Insolvency Functions) Order 2017,,SI,2017,,,,https://www.legislation.gov.uk/ukdsi/2017/9780111160237,XGyVay4r,1289,
1974,"Small Business, Enterprise and Employment Act 2015 (Consequential Amendments, Savings and Transitional Provisions) Regulations 2017",,SI,2017,in accordance with regulation 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2017/9780111162675,T5d1vqnx,1330,
1977,"Transfer of Responsibility for Relevant Children (Extension to Wales, Scotland and Northern Ireland) Regulations 2017",,SI,2017,in accordance with regulation 1,,,https://www.legislation.gov.uk/ukdsi/2017/9780111162750,YWniJAtP,1301,
1856,Proceeds of Crime Act 2002 (Investigative Powers of Prosecutors: Code of Practice) Order 2018,,SI,2018,,2018-01-31 00:00:00+00,,https://www.legislation.gov.uk/ukdsi/2018/9780111160923,32LyE1lf,1358,
2037,Legal Services Act 2007 (General Council of the Bar) (Modification of Functions) Order 2018,,SI,2018,in accordance with article 1,,,https://www.legislation.gov.uk/ukdsi/2018/9780111163702,lfpVT0jj,847,
1767,Newcastle-under-Lyme (Electoral Changes) Order 2017,,SI,2017,in accordance with article 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2017/9780111159026,DXL2BVPv,949,
2126,Works Detrimental to Navigation (Powers and Duties of Inspectors) Regulations 2018,,SI,2018,in accordance with article 1(2).,,,https://www.legislation.gov.uk/ukdsi/2018/9780111164464,r5shDc7K,662,
3996,Pollution Prevention and Control (Fees) (Miscellaneous Amendments) Regulations 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348222579,wBVR5naF,"1, 815, 411, 662",
4232,East Staffordshire (Electoral Changes) Order 2021,,SI,2021,in accordance with article 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2021/9780348226218,L7AUmTYX,949,
1938,Armed Forces Act 2006 (Amendment of Schedule 2) Order 2017,,SI,2017,,2018-03-01 00:00:00+00,,https://www.legislation.gov.uk/ukdsi/2017/9780111162026,Hpam1JAJ,1366,
2153,Criminal Justice and Police Act 2001 (Powers of Seizure) Order 2018,,SI,2018,in accordance with article 1.,,,https://www.legislation.gov.uk/ukdsi/2018/9780111164938,TXGFf1Qo,51,
1896,Combined Authorities (Mayoral Elections) (Amendment) Order 2017,,SI,2017,in accordance with article 1(2),,,https://www.legislation.gov.uk/ukdsi/2017/9780111161531,Uc2cgBqZ,949,
1741,Teignbridge (Electoral Changes) Order 2017,,SI,2017,in accordance with article 1(2) and (3).,,,https://www.legislation.gov.uk/ukdsi/2017/9780111158852,vPOX1Cbi,949,
1849,"Town and Country Planning (Fees for Applications, Deemed Applications, Requests and Site Visits) (England) (Amendment) Regulations 2017",,SI,2017,in accordance with regulation 1.,,,https://www.legislation.gov.uk/ukdsi/2017/9780111160749,aTGnQWmC,1047,
4187,Merchant Shipping (Prevention of Air Pollution from Ships) (Amendment) Regulations 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348225587,pKDEx8nT,411,4481
1993,European Parliamentary Elections Act 2002 (Amendment) Regulations 2018,,SI,2018,in accordance with regulation 1(2).,,,https://www.legislation.gov.uk/ukdsi/2018/9780111163009,pLxFWqAd,757,
4106,Road Vehicle Carbon Dioxide Emission Performance Standards (Cars and Vans) (Amendment) (EU Exit) Regulations 2021,,SI,2021,,2021-09-01 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2021/9780348224351,le2zhXKL,1,
3864,Civil Proceedings Fees (Amendment) Order 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348221046,Ik70evmI,"666, 1199",
1757,Caribbean Development Bank (Ninth Replenishment of the Unified Special Development Fund) Order 2017,,SI,2017,,2017-11-29 00:00:00+00,,https://www.legislation.gov.uk/ukdsi/2017/9780111158784,oJSHkqej,1307,
3931,Caribbean Development Bank (Tenth Replenishment of the Special Development Fund (Unified)) Order 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348221756,1LxpXGUq,1307,
2036,Financial Services Act 2012 (Mutual Societies) Order 2018,,SI,2018,,2018-04-06 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2018/9780111163689,S96rRgP0,1214,
4224,Water and Sewerage Undertakers (Exit from Non-household Retail Market) (Consequential Provision) Regulations 2021,,SI,2021,,2021-10-31 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2021/9780348226157,CIX0v9VE,1292,
2166,Greater Manchester Combined Authority (Amendment) Order 2018,,SI,2018,Comes into force on the day after the day on which it is made,,,https://www.legislation.gov.uk/ukdsi/2018/9780111165249,NUFI1hmP,949,
4045,Climate Change Act 2008 (Credit Limit) Order 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348223453,WV4Zyj2t,1350,
3933,Proceeds of Crime Act 2002 (Cash Searches: Code of Practice) Order 2021,,SI,2021,,2021-06-28 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2021/9780348221626,vHHEMi5A,1358,
3772,Royal Borough of Kingston upon Thames (Electoral Changes) Order 2021,,SI,2021,in accordance with article 1(2) and (3).,,,https://www.legislation.gov.uk/ukdsi/2021/9780348219807,oDHjPESE,949,
1852,Terrorism Act 2000 (Code of Practice for Authorised Officers) Order 2018,,SI,2018,,2018-01-31 00:00:00+00,,https://www.legislation.gov.uk/ukdsi/2018/9780111160824,j19GQtIi,176,
2177,Renewable Heat Incentive Scheme Regulations 2018,,SI,2018,Coming into force in accordance with regulation 1,,,https://www.legislation.gov.uk/ukdsi/2018/9780111165430,8UGjq51Y,662,
3899,Double Taxation Relief (Federal Republic of Germany) Order 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348221473,OlOvmA9T,1219,
4083,New Forest (Electoral Changes) Order 2021,,SI,2021,in accordance with article 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2021/9780348224009,mJRJPBi3,949,
2377,Environmental Permitting (England and Wales) (Amendment) Regulations 2018,,SI ,2018,in accordance with regulation 1.,,,https://www.legislation.gov.uk/ukdsi/2018/9780111163023,khCkoIyC,1272,
1861,Blackburn with Darwen (Electoral Changes) Order 2017,,SI,2017,"in accordance with article 1(2), (3) and (4)",,,https://www.legislation.gov.uk/ukdsi/2017/9780111160893,TCbMiFYL,949,
4072,Space Industry (Appeals) Regulations 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348223576,Qdsh5kwK,1360,
3953,Plant Health etc. (Miscellaneous Fees) (Amendment) (England) Regulations 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348221978,R7VF4itL,1,
3784,Greenhouse Gas Emissions Trading Scheme Auctioning Regulations 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348220049,hHiT7yED,1314,
1886,International Tax Enforcement (Bermuda) Order 2017,,SI,2017,,,,https://www.legislation.gov.uk/ukdsi/2017/9780111161258,dhHSmXjJ,338,
3768,Single Use Carrier Bags Charges (England) (Amendment) Order 2021,,SI,2021,,2021-04-30 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2021/9780348219760,kRyc7CNu,1350,
4162,Pensions Regulator (Employer Resources Test) Regulations 2021,,SI,2021,,2021-10-01 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2021/9780348225204,KRxG2ujT,1061,
4006,Immigration and Nationality (Fees) (Amendment) Order 2021,,SI,2021,in accordance with article 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2021/9780348222869,MtiPQWBe,1300,
1809,Double Taxation Relief and International Tax Enforcement (Lesotho) Order 2017,,SI,2017,,,,https://www.legislation.gov.uk/ukdsi/2017/9780111160251,jwUyG2xU,"1219, 338",
1834,Risk Transformation (Tax) Regulations 2017,,SI,2017,in accordance with regulation 1(1),,,https://www.legislation.gov.uk/ukdsi/2017/9780111160541,TcikrBSt,913,
3842,Employment Rights Act 1996 (Protection from Detriment in Health and Safety Cases) (Amendment) Order 2021,,SI,2021,,2021-05-31 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2021/9780348220636,MsJWOkHV,968,
3771,London Borough of Wandsworth (Electoral Changes) Order 2021,,SI,2021,in accordance with article 1(2) and (3).,,,https://www.legislation.gov.uk/ukdsi/2021/9780348219814,0lvnzNt9,949,
4107,Business and Planning Act 2020 (Pavement Licences) (Coronavirus) (Amendment) Regulations 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348224344,orTTUY5Y,1319,
1962,Higher Education (Access and Participation Plans) (England) Regulations 2018,,SI,2018,in accordance with regulation 1,,,https://www.legislation.gov.uk/ukdsi/2018/9780111162422,hncq61IU,20,
1766,Manchester (Electoral Changes) Order 2017,,SI,2017,in accordance with article 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2017/9780111159156,VLmu7Swc,949,
2024,Investigatory Powers (Technical Capability) Regulations 2018,,SI,2018,in accordance with regulation 1,,,https://www.legislation.gov.uk/ukdsi/2018/9780111163610,8e7mDI9l,1334,
1863,North East Derbyshire (Electoral Changes) Order 2017,,SI,2017,in accordance with article 1(2) and (3).,,,https://www.legislation.gov.uk/ukdsi/2017/9780111160909,eyxKo2YY,949,
1764,East Devon (Electoral Changes) Order 2017,,SI,2017,in accordance with article 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2017/9780111159019,SaufX3Jl,949,
4146,Railway (Licensing of Railway Undertakings) (Amendment) Regulations 2021,,SI,2021,"Regulations 1, 2 and 14 to 19, 30 Sep 2021, Regulations 3 to 13 at 11pm on 31 Jan 2022",,,https://www.legislation.gov.uk/ukdsi/2021/9780348224979,AOXw1uHq,200,4479
4057,Scotland Act 2016 (Social Security) (Consequential Provision) (Miscellaneous Amendment) Regulations 2021,,SI,2021,,2021-07-26 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2021/9780348223613,eaOGGC2j,1336,
1802,London Borough of Croydon (Electoral Changes) Order 2017,,SI,2017,in accordance with article 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2017/9780111160060,hAYqhQZQ,949,
1758,International Development Association (Eighteenth Replenishment) Order 2017,,SI,2017,,2017-11-29 00:00:00+00,,https://www.legislation.gov.uk/ukdsi/2017/9780111158661,27UhfLCL,1307,
4061,Birmingham Commonwealth Games (Compensation for Enforcement Action) Regulations 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348223545,tN009jro,1308,
1909,Test Valley (Electoral Changes) Order 2018,,SI,2018,in accordance with article 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2018/9780111161562,vHdMCm6e,949,
3929,Air Quality (Legislative Functions) (Amendment) Regulations 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348220414,BV5jAi4m,1,
2148,National Employment Savings Trust (Amendment) Order 2018,,SI,2018,,2018-04-06 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2018/9780111165089,zzCrRgbK,145,
2110,Tax Credits and Guardian's Allowance Up-rating etc. Regulations 2018,,SI,2019,in accordance with regulation 1(2).,,,https://www.legislation.gov.uk/ukdsi/2018/9780111164389,QGjYHakf,"795, 528, 527",
4158,Medway (Electoral Changes) Order 2021,,SI,2021,in accordance with article 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2021/9780348225099,B0Zpk0UV,949,
3934,Proceeds of Crime Act 2002 (Investigations: Code of Practice) Order 2021,,SI,2021,,2021-06-28 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2021/9780348221619,WtLsYM8R,1358,
2021,Investigatory Powers (Codes of Practice) Regulations 2018,,SI,2018,in accordance with regulation 1,,,https://www.legislation.gov.uk/ukdsi/2018/9780111163627,6Kr1I0Nu,1334,
1799,Criminal Justice (Scotland) Act 2016 (Consequential Provisions) Order 2017,,SI,2017,in accordance with article 2.,,,https://www.legislation.gov.uk/ukdsi/2017/9780111159866,9iAQBE8f,1289,
3825,Audiovisual Media Services (Amendment) Regulations 2021,,SI,2021,in accordance with regulation 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2021/9780348220582,FB80mkL4,1,3752
3765,Renewables Obligation (Amendment) Order 2021,,SI,2021,,2021-03-31 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2021/9780348219715,RtTmF3bS,215,
1854,Criminal Finances Act 2017 (Consequential Amendment) Regulations 2018,,SI,2018,,2018-01-31 00:00:00+00,,https://www.legislation.gov.uk/ukdsi/2018/9780111160879,QxtRJHw0,1359,
1905,Sub-national Transport Body (Transport for the North) Regulations 2017,,SI,2017,,2018-04-01 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2017/9780111161593,cWMycqbY,144,
4234,Rochdale (Electoral Changes) Order 2021,,SI,2021,in accordance with article 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2021/9780348226225,uCIuHtka,949,
4036,Contracts for Difference (Miscellaneous Amendments) Regulations 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348223408,MedyGd0J,863,
3775,Financial Reporting Council (Miscellaneous Provisions) Order 2021,,SI,2021,in accordance with article 1,,,https://www.legislation.gov.uk/ukdsi/2021/9780348219777,zTx5IalM,"44, 1179, 1348",
3985,Terrorism Act 2000 (Proscribed Organisations) (Amendment) Order 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348222555,BzdN2ZGl,176,
4190,Licensing Act 2003 (2020 UEFA European Championship Licensing Hours) Order 2021,,SI,2021,,2021-07-10 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2021/9780348225617,edOYPlpl,897,
3770,London Borough of Bromley (Electoral Changes) Order 2021,,SI,2021,in accordance with article 1(2) and (3).,,,https://www.legislation.gov.uk/ukdsi/2021/9780348219784,pghLx32g,949,
4142,Central Bedfordshire (Electoral Changes) Order 2021,,SI,2021,in accordance with article 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2021/9780348224771,LF79fVdf,949,
3941,"Food and Drink (Miscellaneous Amendments Relating to Food and Wine Composition, Information and Labelling) Regulations 2021",,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348221916,2JMSY8uW,1,3680
4128,St Albans (Electoral Changes) Order 2021,,SI,2021,"in accordance with article 1(2), (3) and (4)",,,https://www.legislation.gov.uk/ukdsi/2021/9780348224566,v6bxt3tk,949,
