id,procedure_statutory_instrument_name,statutory_instrument_number,statutory_instrument_number_prefix,statutory_instrument_number_year,coming_into_force_note,coming_into_force_date,made_date,web_link,triple_store_id,acts_string,preceding_work_packaged_thing_string
3410,"Customs Safety, Security and Economic Operators Registration and Identification (Amendment etc.) (EU Exit) Regulations 2020",,SI,2020,in accordance with regulation 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2020/9780348213973,THHZKhdC,1,
581,Crown Dependencies Customs Union (Guernsey) (EU Exit) Order 2018,,SI,2018,,,,https://www.legislation.gov.uk/ukdsi/2018/9780111175149,QNp1qT7h,1077,
6888,Space Industry (Licence Exemption for Military Activities of Allies) Regulations 2025,,SI,2025,,,,https://www.legislation.gov.uk/ukdsi/2025/9780348266917,P0HLW3oQ,1360,
6700,Voter Identification (Amendment of List of Specified Documents) Regulations 2024,,SI,2024,,,,https://www.legislation.gov.uk/ukdsi/2024/9780348264357,EiRnT6fH,1718,
2489,Civil Partnership (Opposite-sex Couples) Regulations 2019,,SI,2019,in accordance with regulation 1(2),,,https://www.legislation.gov.uk/ukdsi/2019/9780111190784,POCP7b5G,"1186, 822, 1203",
5033,South Staffordshire (Electoral Changes) Order 2022,,SI,2022,in accordance with article 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2022/9780348237481,exFeuP8v,949,
6311,Fair Dealing Obligations (Milk) Regulations 2024,,SI,2024,,,,https://www.legislation.gov.uk/ukdsi/2024/9780348258417,dStzK73R,10,
6646,Immigration and Nationality (Fees) (Amendment) Order 2024,,SI,2024,,,,https://www.legislation.gov.uk/ukdsi/2024/9780348263619,DoOklOZg,1300,
330,"Electronic Money, Payment Services and Payment Systems (Amendment and Transitional Provisions) (EU Exit) Regulations 2018",,SI,2018,in accordance with regulation 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2018/9780111173008,k7Ytkpuk,1,
2492,Halton (Electoral Changes) Order 2019,,SI,2019,in accordance with article 1(2) to (3),,,https://www.legislation.gov.uk/ukdsi/2019/9780111190654,vhlPmeNM,949,
5260,National Health Service (NHS Payment Scheme ? Consultation) (No. 2) Regulations 2022,,SI,2022,,,,https://www.legislation.gov.uk/ukdsi/2022/9780348241235,K5qyT9PC,1189,
2208,First-tier Tribunal and Upper Tribunal (Composition of Tribunal) (Amendment) Order 2018,,SI,2018,,2018-05-18 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2018/9780111166109,WJFJPsZL,1025,
1590,International Finance Corporation (General Capital Increase) Order 2019,,SI,2019,in accordance with article 1,,,https://www.legislation.gov.uk/ukdsi/2019/9780111187944,IdeCSLkQ,1307,
163,Double Taxation Relief and International Tax Enforcement (Cyprus) Order 2018,,SI,2018,,,,https://www.legislation.gov.uk/ukdsi/2018/9780111168936,GHIocidH,"1219, 338",
1013,Contaminants in Food (Amendment) (EU Exit) Regulations 2019,,SI ,2019,in accordance with regulation 1,,,https://www.legislation.gov.uk/ukdsi/2019/9780111180075,wOUIvmbh,1,
499,Merchant Shipping (Recognised Organisations) (Amendment) (EU Exit) Regulations 2019,,SI,2019,in accordance with regulation 1(2),,,https://www.legislation.gov.uk/ukdsi/2019/9780111174548,xtkKQznp,1,
326,Road Safety (Financial Penalty Deposit) (Appropriate Amount) (Amendment) Order 2018,,SI,2018,"in accordance with article 1(2), (3) and (4)",,,https://www.legislation.gov.uk/ukdsi/2018/9780111173053,5ISSgu1W,503,
530,Quality and Safety of Organs Intended for Transplantation (Amendment) (EU Exit) Regulations 2019,,SI,2019,in accordance with regulation 1,,,https://www.legislation.gov.uk/ukdsi/2019/9780111174807,xzdF8ejT,1,
4549,Greenhouse Gas Emissions Trading Scheme (Amendment) Order 2022,,SI,2022,,,,https://www.legislation.gov.uk/ukdsi/2022/9780348230802,0x2aZO15,1350,
5729,Electricity Capacity (Amendment) Regulations 2023,,SI,2023,In accordance with regulation 1(2),,,https://www.legislation.gov.uk/ukdsi/2023/9780348248715,QcMbQ4sV,863,
5311,Civil Contingencies Act 2004 (Amendment of List of Responders) Order 2023,,SI,2023,,,,https://www.legislation.gov.uk/ukdsi/2023/9780348242041,UiLT15YG,1072,
529,Human Tissue (Quality and Safety for Human Application) (Amendment) (EU Exit) Regulations 2019,,SI,2019,in accordance with regulation 1,,,https://www.legislation.gov.uk/ukdsi/2019/9780111174821,Yy7pGPeL,1,
5383,Authority to Carry Scheme and Civil Penalties Regulations 2023,,SI,2023,,,,https://www.legislation.gov.uk/ukdsi/2023/9780348243468,fQJdiYyF,1069,
