id,polling_on,is_notional,commons_library_briefing_url,parliament_period_id,general_election_publication_state_id,label
2,2015-05-07,f,https://commonslibrary.parliament.uk/research-briefings/cbp-7186/,56,4,General election results for 2015-05-07
3,2017-06-08,f,https://commonslibrary.parliament.uk/research-briefings/cbp-7979/,57,4,General election results for 2017-06-08
4,2019-12-12,f,https://commonslibrary.parliament.uk/research-briefings/cbp-8749/,58,4,General election results for 2019-12-12
5,2019-12-12,t,,58,4,Notional election results for 2019-12-12
1,2010-05-06,f,https://commonslibrary.parliament.uk/research-briefings/rp10-36/,55,4,General election results for 2010-05-06
6,2024-07-04,f,https://commonslibrary.parliament.uk/research-briefings/cbp-10009/,59,4,General election results for 2024-07-04
7,2005-05-05,t,,54,4,Notional election results for 2005-05-05
