ec_id,link to ec page,name,,In MNIS,MNIS ID 1,MNIS Name 1,MNIS ID 2,MNIS Name 2,MNIS ID 3,MNIS Name 3,MNIS ID 4,MNIS Name 4
PP4230,PP4230,Better for Bradford,GB,Yes,272,Better for Bradford,,,,,,
PP1718,PP1718,Binfield Independent Conservatives,GB,No,,,,,,,,
PP6709,PP6709,Birmingham Worker,GB,No,,,,,,,,
PP6342,PP6342,Blue Revolution,GB,Yes,267,Blue Revolution,,,,,,
PP2676,PP2676,BollingtonFirst,GB,No,,,,,,,,
PP11460,PP11460,Bolton For Change,GB,No,,,,,,,,
PP598,PP598,Boston District Independents,GB,No,,,,,,,,
PP6844,PP6844,Both Unions Party of Northern Ireland,NI,No,,,,,,,,
PP2503,PP2503,Bournemouth Independent Alliance,GB,Yes,187,Bournemouth Independent Alliance,,,,,,
PP2013,PP2013,Brentwood First,GB,No,,,,,,,,
PP1957,PP1957,Bristol 1st,GB,No,,,,,,,,
PP12823,PP12823,Britain First,GB,Yes,1010,Britain First,,,,,,
PP2214,PP2214,Britain First,GB,Yes,1010,Britain First,,,,,,
PP3913,PP3913,Britain First,NI,Yes,1010,Britain First,,,,,,
PP792,PP792,Britainthinks,GB,No,,,,,,,,
PP1803,PP1803,Britannica,GB,No,,,,,,,,
PP2565,PP2565,British Constitution Party,GB,No,,,,,,,,
PP1765,PP1765,British Democratic Party,GB,Yes,200,British Democratic Party,,,,,,
PP889,PP889,British Freedom Party,GB,No,,,,,,,,
PP2165,PP2165,British Independents,GB,Yes,190,British Independents,,,,,,
PP758,PP758,British Jobs First,GB,No,,,,,,,,
PP105,PP105,British National Party,NI,Yes,67,BNP,,,,,,
PP106,PP106,British National Party,GB,Yes,67,BNP,,,,,,
PP3960,PP3960,British National Party,GB,Yes,67,BNP,,,,,,
PP3938,PP3938,British Resistance,GB,No,,,,,,,,
PP620,PP620,British Right Alliance,GB,No,,,,,,,,
