id,sortName,displayName,alphabetisationLetter,givenName,familyName,,,
490976,"Stewart, Iona", Iona Stewart,S, Iona,Stewart,,,
545228,"Stiebahl, Sonja", Sonja Stiebahl,S, Sonja,Stiebahl,,,
294260,"Strickland, Pat", Pat Strickland,S, Pat,Strickland,,,
442912,"Sturge, Georgina", Georgina Sturge,S, Georgina,Sturge,,,
350897,"Suchenia, Agnieszka", Agnieszka Suchenia,S, Agnieszka,Suchenia,,,
294263,"Sutherland, Nikki", Nikki Sutherland,S, Nikki,Sutherland,,,
423387,"Swaden-Lewis, Katie", Katie Swaden-Lewis,S, Katie,Swaden-Lewis,,,
351779,"Taylor, Mark", Mark Taylor,T, Mark,Taylor,,,
346814,"Taylor, Russell", Russell Taylor,T, Russell,Taylor,,,
294267,"Tetteh, Edmund", Edmund Tetteh,T, Edmund,Tetteh,,,
294271,"Thompson, Gavin", Gavin Thompson,T, Gavin,Thompson,,,
294272,"Thompson, Venetia", Venetia Thompson,T, Venetia,Thompson,,,
294275,"Thurley, Djuna", Djuna Thurley,T, Djuna,Thurley,,,
416950,"Tinkler, Jane", Jane Tinkler,T, Jane,Tinkler,,,
294276,"Tobin, James", James Tobin,T, James,Tobin,,,
444944,"Torrance, David", David Torrance,T, David,Torrance,,,
294277,"Townsend, Ian", Ian Townsend,T, Ian,Townsend,,,
362466,"Tudor, Sarah", Sarah Tudor,T, Sarah,Tudor,,,
489299,"Tunnicliffe, Richard", Richard Tunnicliffe,T, Richard,Tunnicliffe,,,
294278,"Turley, Penny", Penny Turley,T, Penny,Turley,,,
419815,"Turner, Ross", Ross Turner,T, Ross,Turner,,,
294279,"Twigger, Bob", Bob Twigger,T, Bob,Twigger,,,
479287,"Tyers, Roger", Roger Tyers,T, Roger,Tyers,,,
505267,"Tyler-Todd, Joe", Joe Tyler-Todd,T, Joe,Tyler-Todd,,,
294280,"Tyler, Gloria", Gloria Tyler,T, Gloria,Tyler,,,
413826,"Uberoi, Elise", Elise Uberoi,U, Elise,Uberoi,,,
546481,"Uwazuruike, Allwell", Allwell Uwazuruike,U, Allwell,Uwazuruike,,,
477540,"Vagnoni, Cristiana", Cristiana Vagnoni,V, Cristiana,Vagnoni,,,
294290,"Vollmer, Patrick", Patrick Vollmer,V, Patrick,Vollmer,,,
417078,"Waitzman, Eren", Eren Waitzman,W, Eren,Waitzman,,,
294293,"Waldman, Thomas", Thomas Waldman,W, Thomas,Waldman,,,
494275,"Walker, Alan", Alan Walker,W, Alan,Walker,,,
294295,"Walker, Nigel", Nigel Walker,W, Nigel,Walker,,,
294296,"Wallace, Gemma", Gemma Wallace,W, Gemma,Wallace,,,
294298,"Walpole, Jennifer", Jennifer Walpole,W, Jennifer,Walpole,,,
395733,"Ward, Matthew", Matthew Ward,W, Matthew,Ward,,,
294302,"Ward, Philip", Philip Ward,W, Philip,Ward,,,
294304,"Ware, Richard", Richard Ware,W, Richard,Ware,,,
367073,"Watson, Christopher", Christopher Watson,W, Christopher,Watson,,,
516666,"Watson, Nicole", Nicole Watson,W, Nicole,Watson,,,
294306,"Webb, Dominic", Dominic Webb,W, Dominic,Webb,,,
346753,"Wentworth, Jonathan", Jonathan Wentworth,W, Jonathan,Wentworth,,,
294309,"Wheatley, John", John Wheatley,W, John,Wheatley,,,
294310,"Wheatley, Lynne", Lynne Wheatley,W, Lynne,Wheatley,,,
294312,"White, Edward", Edward White,W, Edward,White,,,
294313,"White, Isobel", Isobel White,W, Isobel,White,,,
417082,"White, Samuel", Samuel White,W, Samuel,White,,,
294314,"Whittaker, Matthew", Matthew Whittaker,W, Matthew,Whittaker,,,
540575,"Whittall, Steve", Steve Whittall,W, Steve,Whittall,,,
447873,"Wilkins, Hannah", Hannah Wilkins,W, Hannah,Wilkins,,,
294320,"Williams, Kevin", Kevin Williams,W, Kevin,Williams,,,
564389,"Williamson, Jack", Jack Williamson,W, Jack,Williamson,,,
483277,"Wilson, Siobhan", Siobhan Wilson,W, Siobhan,Wilson,,,
294325,"Wilson, Wendy", Wendy Wilson,W, Wendy,Wilson,,,
440096,"Winchester, Nicole", Nicole Winchester,W, Nicole,Winchester,,,
477340,"Winnett, James", James Winnett,W, James,Winnett,,,
294327,"Winstone, Ruth", Ruth Winstone,W, Ruth,Winstone,,,
546787,"Wong, Helen", Helen Wong,W, Helen,Wong,,,
398160,"Wood, Jonathan", Jonathan Wood,W, Jonathan,Wood,,,
294332,"Woodhouse, John", John Woodhouse,W, John,Woodhouse,,,
469327,"Wright, Susie", Susie Wright,W, Susie,Wright,,,
294337,"Yonwin, Jessica", Jessica Yonwin,Y, Jessica,Yonwin,,,
294338,"Young, Ross", Ross Young,Y, Ross,Young,,,
294340,"Youngs, Tim", Tim Youngs,Y, Tim,Youngs,,,
294341,"Yousaf, Siama", Siama Yousaf,Y, Siama,Yousaf,,,
368622,"Zaczkiewicz, Daniel", Daniel Zaczkiewicz,Z, Daniel,Zaczkiewicz,,,
511319,"Zaidi, Khadijah", Khadijah Zaidi,Z, Khadijah,Zaidi,,,
419470,"Zayed, Yago", Yago Zayed,Z, Yago,Zayed,,,
