id,name,shortName,strapline,for,isDefunct
1,House of Commons Library,Commons Library,Contributing to a well-informed democracy,1,FALSE
2,House of Lords Library,Lords Library,,2,FALSE
3,Parliamentary Office of Science and Technology,POST,,"1,2",FALSE
