"Subject","Predicate","Object"
"http://parliament.uk/ontologies/treaty/asSeriesItem","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/treaty/TreatySeriesItem"
"http://parliament.uk/ontologies/treaty/commandPaperPrefix","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2000/01/rdf-schema#Literal"
"http://parliament.uk/ontologies/treaty/Bill","http://www.w3.org/2000/01/rdf-schema#label","Bill"
"http://parliament.uk/ontologies/treaty/hasLeadDepartment","http://www.w3.org/2000/01/rdf-schema#comment","Relates a treaty to its lead government department. Treaties are laid into Parliament by the Foreign and Commonwealth Office and may have a different assigned lead department."
"http://parliament.uk/ontologies/treaty/laidAs","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/treaty/Treaty"
"http://parliament.uk/ontologies/treaty/asSeriesItem","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/treaty/TreatySeries","http://www.w3.org/2000/01/rdf-schema#label","Treaty series"
"http://parliament.uk/ontologies/treaty/requiresPassageOfBill","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/treaty/inSeries","http://www.w3.org/2000/01/rdf-schema#label","In series"
"http://parliament.uk/ontologies/treaty/GovernmentOrganisation","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/treaty/"
"http://parliament.uk/ontologies/treaty/ukRatificationDate","http://www.w3.org/2000/01/rdf-schema#label","UK ratification date"
"n6ec8be64fde94748a113b16abf0ade83b1","http://xmlns.com/foaf/0.1/name","David Beamish"
"http://parliament.uk/ontologies/treaty/DraftAndMadeStatutoryInstrumentSubjectToParliamentaryProcedure","http://www.w3.org/2000/01/rdf-schema#label","Draft and made statutory instrument subject to parliamentary procedure"
"http://parliament.uk/ontologies/treaty/inSeries","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/treaty/TreatySeries"
"http://parliament.uk/ontologies/treaty/hasLeadDepartment","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/treaty/GovernmentOrganisation"
"http://parliament.uk/ontologies/treaty/requiresPassageOfBill","http://www.w3.org/2000/01/rdf-schema#comment","Relates a treaty to the required passage of one or more bills in order to enable the satisfaction of treaty obligations."
"http://parliament.uk/ontologies/treaty/TreatySeries","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/treaty/Bill","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/treaty/laidAs","http://www.w3.org/2000/01/rdf-schema#comment","The 'Laid as' property relates a treaty to the form in which it is laid. Treaties requiring ratification - including those treaties requiring ratification to which the United Kingdom is acceding - are subject to the Constitutional Reform and Governance Act 2010. The 2010 Act sets out that such treaties must be laid before Parliament prior to ratification and are then subject to a procedure described in part within the Act. All treaties are laid before Parliament following ratification, though this is not a requirement set out in the 2010 Act and does not trigger a parliamentary procedure. "
"http://parliament.uk/ontologies/treaty/Treaty","http://www.w3.org/2000/01/rdf-schema#label","Treaty"
"http://parliament.uk/ontologies/treaty/","http://xmlns.com/foaf/0.1/maker","n6ec8be64fde94748a113b16abf0ade83b7"
"http://parliament.uk/ontologies/treaty/Bill","http://www.w3.org/2000/01/rdf-schema#comment","A bill presented to Parliament."
"http://parliament.uk/ontologies/treaty/inSeries","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/treaty/TreatySeriesItem"
"http://parliament.uk/ontologies/treaty/Treaty","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/treaty/"
"http://parliament.uk/ontologies/treaty/Treaty","http://www.w3.org/2000/01/rdf-schema#comment","A treaty is a written agreement between states - or between states and international organisations - which is binding under international law."
"http://parliament.uk/ontologies/treaty/","http://xmlns.com/foaf/0.1/maker","n6ec8be64fde94748a113b16abf0ade83b2"
"http://parliament.uk/ontologies/treaty/TreatySeries","http://www.w3.org/2000/01/rdf-schema#comment","A series of which a treaty is an item by means of a treaty series item. Treaty series are defined by the Foreign and Commonwealth Office. The Country Series lists bilateral agreements which are not yet in force. The European Union Series lists multilateral agreements between member states of the European Union, or between third parties and member states of the European Union, which are not yet in force for the UK. The Miscellaneous Series lists multilateral agreements where the UK is a signatory and which are not yet in force. A treaty subject to the Constitutional Reform and Governance Act 2010 is listed in one of the Country, European Union or Miscellaneous series when first laid before Parliament. Once a treaty has entered into force it is published in the FCO Treaty Series. The Treaty Series lists agreements that have completed all necessary procedures and are now in force for the UK."
"http://parliament.uk/ontologies/treaty/requiresPassageOfDraftAndMadeStatutoryInstrumentSubjectToParliamentaryProcedure","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/treaty/"
"http://parliament.uk/ontologies/treaty/laidAs","http://www.w3.org/2000/01/rdf-schema#label","Laid as"
"n6ec8be64fde94748a113b16abf0ade83b5","http://xmlns.com/foaf/0.1/homepage","http://smethur.st/"
"http://parliament.uk/ontologies/treaty/","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Ontology"
"http://parliament.uk/ontologies/treaty/ukComingIntoForceNote","http://www.w3.org/2000/01/rdf-schema#label","UK coming into force note"
"http://parliament.uk/ontologies/treaty/seriesItemCitation","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/treaty/","http://xmlns.com/foaf/0.1/maker","n6ec8be64fde94748a113b16abf0ade83b1"
"http://parliament.uk/ontologies/treaty/hasLeadDepartment","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/treaty/ukComingIntoForceDate","http://www.w3.org/2000/01/rdf-schema#label","UK coming into force date"
"http://parliament.uk/ontologies/treaty/TreatySeriesItem","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/treaty/"
"http://parliament.uk/ontologies/treaty/ukRatificationDate","http://www.w3.org/2000/01/rdf-schema#comment","The date on which the treaty is ratified by the UK."
"http://parliament.uk/ontologies/treaty/ukComingIntoForceDate","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/treaty/Treaty"
"http://parliament.uk/ontologies/treaty/ukComingIntoForceDate","http://www.w3.org/2000/01/rdf-schema#comment","The date on which a treaty is recorded as coming into force. Parts of a treaty may come into force on different dates and under differing conditions. Where no single coming into force date is given, coming into force details are given in a coming into force note."
"http://parliament.uk/ontologies/treaty/requiresPassageOfDraftAndMadeStatutoryInstrumentSubjectToParliamentaryProcedure","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/treaty/Treaty"
"http://parliament.uk/ontologies/treaty/ukRatificationDate","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/treaty/"
"http://parliament.uk/ontologies/treaty/ukComingIntoForceNote","http://www.w3.org/2000/01/rdf-schema#comment","A coming into force note sets out details applying to the UK of the commencement of provisions or effects forming part or parts of a treaty, or the treaty as a whole where it does not come into force on a single date."
"http://parliament.uk/ontologies/treaty/ukComingIntoForceNote","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/1999/02/22-rdf-syntax-ns#langString"
"http://parliament.uk/ontologies/treaty/commandPaperNumber","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2000/01/rdf-schema#Literal"
