id,label,workpackagedaycount,areclocksinworkpackagefrozen,triplestoreid,subjectto,proceduralworkpackagehascalculationstyle,proceduralworkpackagefocus
6933,Work package for Retained EU Law (Revocation and Reform) Bill 2022-23,,false,RdlJObVE,33,,urn:procedure-editor:PublicBill:6933
6937,Work package for Tobacco and Vapes Bill 2024-25,,false,8ljNeqoZ,33,,urn:procedure-editor:PublicBill:6937
7068,Work package for Employment Rights Bill 2024-25,,false,wwFM9xaL,33,,urn:procedure-editor:PublicBill:7068
7083,Work package for Victims and Prisoners Bill 2022-23 to 2023-24,,false,oKt6PcrY,33,,urn:procedure-editor:PublicBill:7083
7155,Work package for Data (Use and Access) Bill (HL) 2024-25,,false,CEKmE2UZ,33,,urn:procedure-editor:PublicBill:7155
7480,Work package for Bus Services (No. 2) Bill (HL) 2024-26,,false,nn1hyBEE,33,,urn:procedure-editor:PublicBill:7480
