id,title,royalassentdate,year,chapternumber,legislationgovuri,dataparliamenturi,triplestoreid
36,Crime and Punishment (Scotland) Act 1997,1997-03-21,1997,48,https://www.legislation.gov.uk/id/ukpga/1997/48,http://data.parliament.uk/pimsdata/PublicGeneralAct/4379,A7Y2h2K3
37,Building Society (Distributions) Act 1997,1997-03-21,1997,41,https://www.legislation.gov.uk/id/ukpga/1997/41,http://data.parliament.uk/pimsdata/PublicGeneralAct/4372,6SknQeC5
38,Charities Act 2011,2011-12-14,2011,25,https://www.legislation.gov.uk/id/ukpga/2011/25,http://data.parliament.uk/pimsdata/PublicGeneralAct/9202,GwgrvFY1
39,Terrorism Prevention and Investigation Measures Act 2011,2011-12-14,2011,23,https://www.legislation.gov.uk/id/ukpga/2011/23,http://data.parliament.uk/pimsdata/PublicGeneralAct/9200,vjKqX735
40,Appropriation Act 2001,2001-05-11,2001,8,https://www.legislation.gov.uk/id/ukpga/2001/8,http://data.parliament.uk/pimsdata/PublicGeneralAct/4157,3eVCJlwO
41,National Insurance Contributions Act 2011,2011-03-22,2011,3,https://www.legislation.gov.uk/id/ukpga/2011/3,http://data.parliament.uk/pimsdata/PublicGeneralAct/9014,QfIlSDTE
42,Consolidated Fund Act 2001,2001-03-22,2001,1,https://www.legislation.gov.uk/id/ukpga/2001/1,http://data.parliament.uk/pimsdata/PublicGeneralAct/4180,b3WfHP9D
43,Consolidated Fund (No. 2) Act 2000,2000-12-21,2000,45,https://www.legislation.gov.uk/id/ukpga/2000/45,http://data.parliament.uk/pimsdata/PublicGeneralAct/4189,h9ibMBS3
44,Freedom of Information Act 2000,2000-11-30,2000,36,https://www.legislation.gov.uk/id/ukpga/2000/36,http://data.parliament.uk/pimsdata/PublicGeneralAct/4194,KlihYT2L
45,Countryside and Rights of Way Act 2000,2000-11-30,2000,37,https://www.legislation.gov.uk/id/ukpga/2000/37,http://data.parliament.uk/pimsdata/PublicGeneralAct/4195,KwwzFkhS
46,Transport Act 2000,2000-11-30,2000,38,https://www.legislation.gov.uk/id/ukpga/2000/38,http://data.parliament.uk/pimsdata/PublicGeneralAct/4196,zzRhGERr
47,Social Security Fraud Act 2001,2001-05-11,2001,11,https://www.legislation.gov.uk/id/ukpga/2001/11,http://data.parliament.uk/pimsdata/PublicGeneralAct/4160,GhG3limD
48,Northern Ireland Act 2009,2009-03-12,2009,3,https://www.legislation.gov.uk/id/ukpga/2009/3,http://data.parliament.uk/pimsdata/PublicGeneralAct/8194,hy2p9TNa
49,Armed Forces Act 2001,2001-05-11,2001,19,https://www.legislation.gov.uk/id/ukpga/2001/19,http://data.parliament.uk/pimsdata/PublicGeneralAct/4168,tUm2ReEu
50,Childrens Commissioner for Wales Act 2001,2001-05-11,2001,18,https://www.legislation.gov.uk/id/ukpga/2001/18,http://data.parliament.uk/pimsdata/PublicGeneralAct/4167,QAJwdX1B
51,Criminal Justice and Police Act 2001,2001-05-11,2001,16,https://www.legislation.gov.uk/id/ukpga/2001/16,http://data.parliament.uk/pimsdata/PublicGeneralAct/4165,yGeTN9f3
52,Appropriation Act 2009,2009-03-12,2009,2,https://www.legislation.gov.uk/id/ukpga/2009/2,http://data.parliament.uk/pimsdata/PublicGeneralAct/8193,eEqidDrw
53,Elections Act 2001,2001-04-10,2001,7,https://www.legislation.gov.uk/id/ukpga/2001/7,http://data.parliament.uk/pimsdata/PublicGeneralAct/4173,YRjxdJe4
54,Election Publications Act 2001,2001-04-10,2001,5,https://www.legislation.gov.uk/id/ukpga/2001/5,http://data.parliament.uk/pimsdata/PublicGeneralAct/4171,r64gzXSo
55,Equitable Life (Payments) Act 2010,2010-12-16,2010,34,https://www.legislation.gov.uk/id/ukpga/2010/34,http://data.parliament.uk/pimsdata/PublicGeneralAct/8899,rQdovjcr
56,Consolidated Fund Act 2005,2005-12-19,2005,23,https://www.legislation.gov.uk/id/ukpga/2005/23,http://data.parliament.uk/pimsdata/PublicGeneralAct/7128,wwibwvQb
57,Criminal Justice and Immigration Act 2008,2008-05-08,2008,4,https://www.legislation.gov.uk/id/ukpga/2008/4,http://data.parliament.uk/pimsdata/PublicGeneralAct/7937,BYtUcsws
58,Industry and Exports (Financial Support) Act 2009,2009-05-21,2009,5,https://www.legislation.gov.uk/id/ukpga/2009/5,http://data.parliament.uk/pimsdata/PublicGeneralAct/8248,dJP6FhR3
59,Coinage (Measurement) Act 2011,2011-11-03,2011,17,https://www.legislation.gov.uk/id/ukpga/2011/17,http://data.parliament.uk/pimsdata/PublicGeneralAct/9168,qundmcvC
