id,label,triplestoreid,treatyseriescitation,treatyseries,treaty
515,Canada No.1 (2018),eMV0dzMj,Canada No.1 (2018),1,1207
517,USA No. 3 (2019),xYjX7OPP,USA No. 3 (2019),1,1177
523,Turkey No.1 (2018),kraLqXvi,Turkey No.1 (2018),1,1202
524,Ireland No.1 (2019),Z7BsOt2z,Ireland No.1 (2019),1,1219
525,Chile No.2 (2019),PBXpo42U,Chile No.2 (2019),1,1191
529,USA No. 5 (2019),19630MqI,USA No. 5 (2019),1,1238
531,USA No. 4 (2019),UDkmcGXu,USA No. 4 (2019),1,1237
533,Switzerland No.4 (2019),MRNDuNEX,Switzerland No.4 (2019),1,1247
534,Liechtenstein No. 1 (2019),horQUGji,Liechtenstein No. 1 (2019),1,1291
535,Israel No.1 (2019),jTv14T4Y,Israel No.1 (2019),1,1292
536,Serbia No.1 (2019),IOQ3M675,Serbia No.1 (2019),1,1293
537,Switzerland No. 5 (2019),rYD6VXem,Switzerland No. 5 (2019),1,1295
538,Spain No. 2 (2019),zfGS0GQH,Spain No. 2 (2019),1,1386
539,Spain No. 1 (2019),Bx6DfWw7,Spain No. 1 (2019),1,1387
541,Morocco No. 1 (2019),Fa5qxBT5,Morocco No. 1 (2019),1,1415
542,Indonesia No.1 (2019),2xGyfn0q,Indonesia No.1 (2019),1,1456
544,Belarus No.1 (2019),BcoK5GhU,Belarus No.1 (2019),1,1463
546,Norway No.1 (2019),bLxT8RfZ,Norway No.1 (2019),1,1498
551,Kuwait No. 1 (2019),wWfArVrC,Kuwait No. 1 (2019),1,1577
552,Bahamas No. 1 (2019),YyVCs3Bk,Bahamas No. 1 (2019),1,1576
553,Ukraine No. 1 (2019),MAvq7c5Y,Ukraine No. 1 (2019),1,1581
555,Luxembourg No.1 (2019),VaGZULlZ,Luxembourg No.1 (2019),1,1621
557,Portugal No.1 (2019),Jelm9hGP,Portugal No.1 (2019),1,1620
559,Switzerland No. 6 (2019),PYWZMK2E,Switzerland No. 6 (2019),1,1662
566,Belize No.1 (2019),m7Xghb4s,Belize No.1 (2019),1,2379
567,Montenegro No. 1 (2019),nvDkUp67,Montenegro No. 1 (2019),1,2386
568,Korea No.1 (2019),rURvvoz0,Korea No.1 (2019),1,2425
569,Montenegro No. 2 (2019),raWRN2H1,Montenegro No. 2 (2019),1,2434
572,USA No. 6 (2019),jms8Ko9o,USA No. 6 (2019),1,2459
573,Montenegro No. 3 (2019),sQeM2O4Y,Montenegro No. 3 (2019),1,2487
574,Lebanon No. 1 (2019),TCexOUpF,Lebanon No. 1 (2019),1,2503
575,Tunisia No.1 (2019),36UUNT9X,Tunisia No.1 (2019),1,2507
576,Georgia No. 1 (2019),db9TSdev,Georgia No. 1 (2019),1,2531
578,Jordan No.1 (2019),eEiaIJpp,Jordan No.1 (2019),1,2547
579,Morocco No. 2 (2019),qSLLXLF9,Morocco No. 2 (2019),1,2548
580,Uzbekistan No. 1 (2019),BMcOhIDD,Uzbekistan No. 1 (2019),1,2549
581,Kosovo No. 1 (2019),gExfwWqp,Kosovo No. 1 (2019),1,2550
582,Switzerland No. 7 (2019),TprXHsQQ,Switzerland No. 7 (2019),1,2551
585,Morocco No. 1 (2020),LEhURdSG,Morocco No. 1 (2020),1,2900
586,Poland No. 1 (2020),MbFcf7NH,Poland No. 1 (2020),1,2931
588,Netherlands No. 1 (2020),RVgRoEhz,Netherlands No. 1 (2020),1,3168
592,USA No. 1 (2020),HCA6MnP5,USA No. 1 (2020),1,3395
593,Japan No. 1 (2020),WXMdBuP8,Japan No. 1 (2020),1,3430
