id,label,workpackagedaycount,areclocksinworkpackagefrozen,triplestoreid,subjectto,proceduralworkpackagehascalculationstyle,proceduralworkpackagefocus
4591,Work package for Pesticides (Revocation) (EU Exit) Regulations 2022,,false,foie2S8u,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:4591
4666,Work package for Goods Vehicles (Licensing of Operators) (Amendment) (No. 2) Regulations 2022,,false,Estucwbs,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:4666
4843,Work package for Public Regulated Service (Galileo) (Revocation) Regulations 2022,,false,32WoBejE,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:4843
4852,Work package for Public Sector Bodies (Websites and Mobile Applications) (No. 2) Accessibility (Amendment) (EU Exit) Regulations 2022,,false,1Ia3kJVa,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:4852
4855,Work package for Aviation Safety (Amendment) Regulations 2022,,false,ko2tRGod,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:4855
5008,Work package for European Parliamentary Elections (Amendment and Revocation) (United Kingdom and Gibraltar) (EU Exit) Regulations 2022,,false,fl8Sc1mj,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:5008
5009,Work package for Financial Services (Miscellaneous Amendments) (EU Exit) Regulations 2022,,false,3v7S0cLz,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:5009
5048,"Work package for Animals, Food, Plant Health, Plant Propagating Material and Seeds (Miscellaneous Amendments etc.) Regulations 2022",,false,pf1aIE7g,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:5048
5049,Work package for EU Agencies (Revocations) Regulations 2022,,false,ZHTnTz98,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:5049
5088,Work package for Guarantees of Origin of Electricity Produced from Renewable Energy Sources and High-efficiency Cogeneration (Amendment) (EU Exit) Regulations 2022,,false,UHJrQ8ZM,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:5088
5092,Work package for Product Safety and Metrology (Amendment) Regulations 2022,,false,3Mids1oi,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:5092
5129,Work package for Storage of Carbon Dioxide (Amendment) (EU Exit) Regulations 2022,,false,oea1rq4l,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:5129
5155,Work package for Common Organisation of the Markets in Agricultural Products (Amendment) Regulations 2022,,false,j848Ltyp,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:5155
5156,Work package for Storage of Carbon Dioxide (Amendment) (EU Exit) Regulations 2022,,false,z7kd0rSv,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:5156
5165,Work package for Storage of Carbon Dioxide (Amendment) (EU Exit) Regulations 2022,,false,NF3nBnlI,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:5165
5171,Work package for Control of Mercury (Amendment) (EU Exit) Regulations 2022,,false,719vSNJr,2,,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:5171
5815,Work package for Aviation Statistics Regulations 2023,,false,Gkd2NZKS,2,4,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:5815
5883,Work package for Data Protection (Fundamental Rights and Freedoms) (Amendment) Regulations 2023,,false,fBLP20my,2,4,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:5883
5885,Work package for European University Institute Regulations 2023,,false,HkXEyIgj,2,4,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:5885
6020,Work package for Railways and Freight Transport etc. (Revocation) Regulations 2024,,false,8pfM1jtC,2,4,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:6020
6051,Work package for Railways (Revocation and Consequential Provision) Regulations 2024,,false,Ok9KDivT,2,4,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:6051
6332,Work package for Pressure Equipment (Safety) (Amendment) Regulations 2024,,false,LEQ1Bly5,2,4,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:6332
6369,Work package for Pressure Equipment (Safety) (Amendment) Regulations 2024,,false,qNOy1A93,2,4,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:6369
6370,"Work package for Retained EU Law (Revocation and Reform) Act 2023 (Environment, Food and Rural Affairs) (Revocation) Regulations 2024",,false,52gnEV2K,2,4,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:6370
6391,Work package for Weights and Measures (Intoxicating Liquor) (Amendment) Regulations 2024,,false,P6Y9YBCn,2,4,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:6391
6392,Work package for Health Claims (Revocation) Regulations 2024,,false,YGkzSVCF,2,4,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:6392
6529,Work package for Companies Act 2006 (Recognition of Third Country Qualifications and Practical Training) (Amendment) Regulations 2024,,false,Xh7nQhIh,2,4,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:6529
6665,Work package for Electricity Capacity Mechanism (Amendment) Regulations 2024,,false,51eOcYPS,2,4,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:6665
6997,Work package for New Heavy-Duty Vehicles (Carbon Dioxide Emission Performance Standards) (Miscellaneous Amendments) Regulations 2025,,false,Hmv5vTLW,2,4,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:6997
7036,Work package for Companies (Directors' Remuneration and Audit) (Amendment) Regulations 2025,,false,3xkRwSmj,2,4,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:7036
7076,Work package for Companies Act 2006 (Recognition of Third Country Qualifications and Practical Training) (Amendment) Regulations 2025,,false,NIyL6zb9,2,4,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:7076
7090,Work package for Public Procurement (Revocation) Regulations 2025,,false,gul1IPNL,2,4,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:7090
7100,Work package for Energy (Euratom Decisions and Miscellaneous Provisions) (Amendment and Revocation) Regulations 2025,,false,k3u12bzC,2,4,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:7100
7103,Work package for Energy (Euratom Decisions and Miscellaneous Provisions) (Amendment and Revocation) Regulations 2025,,false,avNGQGPR,2,4,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:7103
7106,Work package for Public Procurement (Revocation) Regulations 2025,,false,Od6TlGAe,2,4,urn:procedure-editor:ProposedNegativeStatutoryInstrumentWork:7106
