id,label,parliamentarytimeidentifier,triplestoreid
1,Bicameral instruments (clock stops if either House rises),1,67qMXsUE
2,Bicameral instruments (clock stops if both Houses rise),2,FPPYJ9iv
3,Commons only instruments,3,G72jVmgv
4,Proposed negative statutory instruments,4,8PtdopLn
5,Treaty periods A and B,5,GKxRUUgK
6,Commons only sitting days,6,AaFoIOKC
