id,label,workpackagedaycount,areclocksinworkpackagefrozen,triplestoreid,subjectto,proceduralworkpackagehascalculationstyle,proceduralworkpackagefocus
6011,"Work package for Employment Rights (Amendment, Revocation and Transitional Provision) Regulations 2023",,false,azpBbDTt,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6011
6015,Work package for Rossendale (Electoral Changes) Order 2024,,false,rf8RLczS,5,2,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6015
6016,Work package for Nuneaton & Bedworth (Electoral Changes) Order 2024,,false,EmcTAcLf,5,2,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6016
6017,Work package for Tunbridge Wells (Electoral Changes) Order 2024,,false,uY4xOzdx,5,2,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6017
6018,"Work package for Hydrogen Production Revenue Support (Directions, Eligibility and Counterparty) Regulations 2023",,false,p3npKiNW,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6018
6019,"Work package for Nationality, Immigration and Asylum Act 2002 (Amendment of List of Safe States) Regulations 2024",,false,eIQOrTez,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6019
6023,Work package for Higher-Risk Buildings (Keeping and Provision of Information etc.) (England) Regulations 2023,,false,4WJ8KXet,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6023
6026,Work package for Trade Union (Deduction of Union Subscriptions from Wages in the Public Sector) Regulations 2023,,false,otLBCJiR,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6026
6037,Work package for Child Support (Management of Payments and Arrears and Fees) (Amendment) Regulations 2023,,false,wgdxNPVZ,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6037
6038,Work package for Judicial Pensions (Remediable Service etc.) (Amendment) Regulations 2023,,false,3bXwjNTp,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6038
6039,Work package for Medical Devices (In Vitro Diagnostic Devices etc.) (Amendment) Regulations 2023,,false,Xk86OZAa,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6039
6040,Work package for Employment Tribunals and Employment Appeal Tribunal (Composition of Tribunal) Regulations 2023,,false,OikKYArr,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6040
6042,Work package for Immigration (Employment of Adults Subject to Immigration Control) (Maximum Penalty) (Amendment) Order 2023,,false,xluyIr5M,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6042
6043,Work package for Immigration Act 2014 (Residential Accommodation) (Maximum Penalty) Order 2023,,false,3oExnnqy,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6043
