id,label,workpackagedaycount,areclocksinworkpackagefrozen,triplestoreid,subjectto,proceduralworkpackagehascalculationstyle,proceduralworkpackagefocus
5863,"Work package for Windsor Framework (Retail Movement Scheme: Public Health, Marketing and Organic Product Standards and Miscellaneous Provisions) Regulations 2023",,false,vvkBOneW,4,2,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:5863
5864,Work package for Customs (Northern Ireland) (EU Exit) (Amendment) Regulations 2023,,false,g31iKb5V,4,3,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:5864
5867,Work package for Countryside Stewardship (England) (Amendment) (No. 2) Regulations 2023,,false,BaylhnS4,4,2,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:5867
5868,Work package for Building Safety (Regulator?s Charges) Regulations 2023,,false,GOAYhdC1,4,2,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:5868
5869,Work package for Accounting Standards (Prescribed Bodies) (United States of America and Japan) (Amendment) Regulations 2023,,false,xFUq4Ecv,4,2,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:5869
5870,Work package for Financial Services and Markets Act 2000 (Exemptions from Financial Promotion General Requirement) Regulations 2023,,false,czpkm1nO,4,2,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:5870
5871,Work package for Personal Injuries (NHS Charges) (Amounts) (Amendment) (No. 2) Regulations 2023,,false,0eI6SidP,4,2,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:5871
5872,Work package for Petroleum Act 1998 (Specified Pipelines) (Amendment) and Importation and Storage of Combustible Gas (Designation of Substance etc.) Order 2023,,false,ChNgUbmQ,4,2,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:5872
5873,Work package for Civil Service (Other Crown Servants) Pension Scheme (Remediable Service) Regulations 2023,,false,VFNEVFev,4,2,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:5873
5874,Work package for Public Service (Civil Servants and Others) Pensions (Remediable Service) Regulations 2023,,false,i6x2fiBH,4,2,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:5874
5876,Work package for Immigration (Passenger Transit Visa) (Amendment) (No. 2) Order 2023,,false,sT8Qu9Ir,4,2,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:5876
5877,Work package for Tonnage Tax (Training Requirement) (Amendment etc.) Regulations 2023,,false,m3IDm1vq,4,3,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:5877
5878,Work package for Firefighters' Pension Schemes (England) (Amendment) Order 2023,,false,CDLE893b,4,2,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:5878
5879,Work package for National Health Service Pension Schemes (Remediable Service) Regulations 2023,,false,9PmZtEVU,4,2,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:5879
5880,Work package for Coroners and Justice Act 2009 (Alteration of Coroner Areas) (No. 2) Order 2023,,false,tr0yWrJ5,4,2,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:5880
5881,Work package for Local Government Pension Scheme (Amendment) (No. 3) Regulations 2023,,false,oVGRTm0m,4,2,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:5881
5882,Work package for Employment Appeal Tribunal (Amendment) Rules 2023,,false,2YQzFyZE,4,2,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:5882
5887,Work package for Alcohol Licensing (Coronavirus) (Regulatory Easements) (Amendment) Regulations 2023,40,false,DWIeE9GY,1,2,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:5887
5888,Work package for Court Funds (Amendment) Rules 2023,,false,KHYxJjtT,4,2,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:5888
5889,Work package for Electricity (Individual Exemption from the Requirement for a Transmission Licence) (Moray East) (Scotland) Order 2023,,false,rPd4al08,4,2,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:5889
5894,Work package for Armed Forces Pensions (Remediable Service) Regulations  2023,,false,FISE3TQT,4,2,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:5894
5896,Work package for Central Counterparties (Transitional Provision) (Extension and Amendment) Regulations 2023,,false,bIa6APvm,4,2,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:5896
5897,Work package for Health and Care Professions Council (Miscellaneous Amendment) Rules Order of Council 2023,,false,6wJx25Lg,4,2,urn:procedure-editor:MadeStatutoryInstrumentSubjectToParliamentaryProcedureWork:5897
