id,title,weblink,year,prefix,number,comingintoforcedate,comingintoforcenote,madedate,enabledby,precededbyproposedstatutoryinstrument,triplestoreid
38,"Trade Secrets (Enforcement, etc.) Regulations 2018",https://www.legislation.gov.uk/uksi/2018/597/made,2018,SI,597,2018-06-09,,2018-05-15,urn:procedure-editor:ActOfParliament:2419,"",bUEOr4ad
39,Burma (European Union Financial Sanctions) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/539/made,2018,SI,539,2018-05-21,,2018-04-27,urn:procedure-editor:ActOfParliament:2419,"",T3N7uNwm
41,First-tier Tribunal and Upper Tribunal (Chambers) (Amendment) Order 2018,https://www.legislation.gov.uk/uksi/2018/509/made,2018,SI,509,,in accordance with article 1.,2018-04-20,urn:procedure-editor:ActOfParliament:1025,"",5trFJNih
42,Special Restrictions on Adoptions from Abroad (Ethiopia) Order 2018,https://www.legislation.gov.uk/uksi/2018/517/made,2018,SI,517,2018-05-21,,2018-04-18,urn:procedure-editor:ActOfParliament:667,"",keUmDe6y
43,Sea Fishing (Miscellaneous Amendments) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/643/made,2018,SI,643,2018-06-18,,2018-05-22,"urn:procedure-editor:ActOfParliament:1824,urn:procedure-editor:ActOfParliament:2419","",5pJMwiMT
44,Network and Information Systems (Amendment) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/629/made,2018,SI,629,2018-06-20,,2018-05-23,urn:procedure-editor:ActOfParliament:2419,"",RcGToJSJ
46,Parole Board (Amendment) Rules 2018,https://www.legislation.gov.uk/uksi/2018/541/made,2018,SI,541,2018-05-22,,2018-04-26,urn:procedure-editor:ActOfParliament:842,"",tjxWFlR2
47,Renewable Heat Incentive Scheme and Domestic Renewable Heat Incentive Scheme (Amendment) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/635/made,2018,SI,635,,in accordance with regulation 1(2) to (4),2018-05-24,urn:procedure-editor:ActOfParliament:662,"",BdanAxAh
48,"Protection of Freedoms Act 2012 (Destruction, Retention and Use of Biometric Data) (Transitional, Transitory and Saving Provisions) (Amendment) Order 2018",https://www.legislation.gov.uk/uksi/2018/657/made,2018,SI,657,2018-10-30,,2018-05-30,urn:procedure-editor:ActOfParliament:608,"",ez3sdNNT
49,Higher Education and Research Act 2017 (Cooperation and Information Sharing) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/607/made,2018,SI,607,2018-06-18,,2018-05-21,urn:procedure-editor:ActOfParliament:20,"",dNxWbKuU
50,Education (Designated Institutions) (England) Order 2018,https://www.legislation.gov.uk/uksi/2018/654/made,2018,SI,654,2018-06-22,,2018-05-23,urn:procedure-editor:ActOfParliament:216,"",58xXcnw9
51,Education (Postgraduate Doctoral Degree Loans and the Education (Student Loans) (Repayment) (Amendment) (No. 2) etc.) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/599/made,2018,SI,599,2018-06-11,,2018-05-15,"urn:procedure-editor:ActOfParliament:1039,urn:procedure-editor:ActOfParliament:1367","",lh2dYuHD
57,Children's Homes (England) (Amendment) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/540/made,2018,SI,540,2018-05-22,,2018-04-26,urn:procedure-editor:ActOfParliament:174,"",eD6E73Ne
59,Investigatory Powers (Consequential Amendments etc.) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/682/made,2018,SI,682,, in accordance with regulation 1(2) and (3),2018-06-06,urn:procedure-editor:ActOfParliament:1334,"",w3m931qg
60,Professional Standards Authority for Health and Social Care (Fees) (Social Work England) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/655/made,2018,SI,655,,in accordance with regulation 1,2018-05-28,urn:procedure-editor:ActOfParliament:790,"",NRSdVnQe
61,Tenements (Scotland) Act 2004 (Gas Services) Order 2018,https://www.legislation.gov.uk/uksi/2018/658/made,2018,SI,658,2018-07-13,,2018-05-30,urn:procedure-editor:ActOfParliament:1289,"",yvJQZWRS
62,Animal Gatherings (Fees) (England) Order 2018,https://www.legislation.gov.uk/uksi/2018/663/made,2018,SI,663,2018-06-30,,2018-05-24,urn:procedure-editor:ActOfParliament:1817,"",ZZqT1pd0
64,Time Off for Public Duties Order 2018,https://www.legislation.gov.uk/uksi/2018/665/made,2018,SI,665,2018-10-01,,2018-05-30,urn:procedure-editor:ActOfParliament:1337,"",eqmSAYR6
67,"Road Vehicles (Defeat Devices, Fuel Economy and Type-Approval) (Amendment) Regulations 2018",https://www.legislation.gov.uk/uksi/2018/673/made,2018,SI,673,, in accordance with regulation 1,2018-06-04,urn:procedure-editor:ActOfParliament:2419,"",LldrrMNS
70,Public Lending Right Scheme 1982 (Commencement of Variations) (No. 2) Order 2018,https://www.legislation.gov.uk/uksi/2018/691/made,2018,SI,691,2018-07-01,,2018-06-06,urn:procedure-editor:ActOfParliament:1985,"",wzOpc7Aj
72,Control of Trade in Endangered Species Regulations 2018,https://www.legislation.gov.uk/uksi/2018/703/made,2018,SI,703,2018-10-01,,2018-06-07,urn:procedure-editor:ActOfParliament:2419,"",Z1VEYuzd
73,Town and Country Planning and Infrastructure Planning (Environmental Impact Assessment) (Amendment) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/695/made,2018,SI,695,2018-10-01,,2018-06-06,"urn:procedure-editor:ActOfParliament:2419,urn:procedure-editor:ActOfParliament:1047","",1IUldWII
75,Civil Aviation (Air Travel Organisers’ Licensing) (Amendment) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/670/made,2018,SI,670,2018-07-01,,2018-06-04,urn:procedure-editor:ActOfParliament:1769,"",nohxpB6K
76,Care and Support (Charging and Assessment of Resources) (Amendment) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/687/made,2018,SI,687,2018-07-09,,2018-06-05,urn:procedure-editor:ActOfParliament:1368,"",BN7ucM8o
77,Money Market Funds Regulations 2018,https://www.legislation.gov.uk/uksi/2018/698/made,2018,SI,698,,in accordance with regulation 1(2),2018-06-07,urn:procedure-editor:ActOfParliament:2419,"",jKgfbLZG
78,Regulation of Investigatory Powers (Juveniles) (Amendment) Order 2018,https://www.legislation.gov.uk/uksi/2018/715/made,2018,SI,715,2018-07-20,,2018-06-12,urn:procedure-editor:ActOfParliament:1365,"",I9rWxORS
81,General Osteopathic Council (Continuing Professional Development) (Amendment) Rules Order of Council 2018,https://www.legislation.gov.uk/uksi/2018/513/made,2018,SI,513,2018-10-01,,2018-04-18,urn:procedure-editor:ActOfParliament:275,"",vBqvzucr
83,Housing Administration (England and Wales) Rules 2018,https://www.legislation.gov.uk/uksi/2018/719/made,2018,SI,719,2018-07-05,,2018-06-12,"urn:procedure-editor:ActOfParliament:1520,urn:procedure-editor:ActOfParliament:1026","",N3pbTe7F
84,British Nationality (The Gambia) Order 2018,https://www.legislation.gov.uk/uksi/2018/620/made,2018,SI,620,2018-06-22,,2018-05-23,urn:procedure-editor:ActOfParliament:1860,"",4bwmdrUh
87,Transfer of Functions (Digital Government) Order 2018,https://www.legislation.gov.uk/uksi/2018/526/made,2018,SI,526,2018-05-18,,2018-04-24,"urn:procedure-editor:ActOfParliament:2217,urn:procedure-editor:ActOfParliament:19","",kqzXWiAO
91,Water Supply (Water Quality) (Amendment) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/706/made,2018,SI,706,2018-07-11,,2018-06-14,urn:procedure-editor:ActOfParliament:2419,"",N1TcXxev
93,Transmissible Spongiform Encephalopathies (England) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/731/made,2018,SI,731,2018-07-19,,2018-06-13,urn:procedure-editor:ActOfParliament:2419,"",6XQ6ig48
97,Terrorism Act 2000 (Enforcement in Different Parts of the United Kingdom) Order 2018,https://www.legislation.gov.uk/uksi/2018/521/made,2018,SI,521,2018-06-01,,2018-04-24,urn:procedure-editor:ActOfParliament:176,"",7uCF2qgm
98,Coroners and Justice Act 2009 (Alteration of Coroner Areas) Order 2018,https://www.legislation.gov.uk/uksi/2018/770/made,2018,SI,770,2018-08-01,,2018-06-26,urn:procedure-editor:ActOfParliament:21,"",98auwKwP
99,Air Navigation (Amendment) Order 2018,https://www.legislation.gov.uk/uksi/2018/623/made,2018,SI,623,,in accordance with article 1,2018-05-23,urn:procedure-editor:ActOfParliament:1769,"",9S89Uofh
102,Customs (Contravention of a Relevant Rule) (Amendment) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/483/made,2018,SI,483,2018-05-09,,2018-04-16,"urn:procedure-editor:ActOfParliament:759,urn:procedure-editor:ActOfParliament:1191","",YFkBxYkE
103,Local Government Pension Scheme (Amendment) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/493/made,2018,SI,493,2018-05-14,,2018-04-17,urn:procedure-editor:ActOfParliament:1315,"",k6waZgmJ
104,Education (Pupil Information) (England) (Amendment) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/688/made,2018,SI,688,2018-09-01,,2018-06-06,urn:procedure-editor:ActOfParliament:1045,"",tiA7a71r
105,Civil Enforcement of Traffic Contraventions (Consequential Amendments) (England) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/488/made,2018,SI,488,2018-05-18,,2018-04-16,urn:procedure-editor:ActOfParliament:938,"",xic2yu5i
106,Allocation of Housing and Homelessness (Eligibility) (England) (Amendment) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/730/made,2018,SI,730,2018-07-09,,2018-06-15,urn:procedure-editor:ActOfParliament:1256,"",YdZGzcJA
107,Scotland Act 1998 (Agency Arrangements) (Specification) Order 2018,https://www.legislation.gov.uk/uksi/2018/626/made,2018,SI,626,,in accordance with article 2,2018-05-23,urn:procedure-editor:ActOfParliament:1289,"",4e7ROEBU
108,National Health Service (Liabilities to Third Parties Scheme) (England) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/756/made,2018,SI,756,2018-08-01,,2018-06-25,urn:procedure-editor:ActOfParliament:1178,"",Foe6fVxK
