id,inParliamentPeriod,number,label,startOn,endOn,wikidataID
82,21,3,Session 3 of Parliament 21,1876-02-08,1876-08-15,Q108997619
83,21,4,Session 4 of Parliament 21,1877-02-08,1877-08-14,Q108997618
84,21,5,Session 5 of Parliament 21,1878-01-17,1878-08-16,Q108997617
85,21,6,Session 6 of Parliament 21,1878-12-05,1879-08-15,Q108997616
86,21,7,Session 7 of Parliament 21,1880-02-05,1880-03-24,Q108997615
87,22,1,Session 1 of Parliament 22,1880-04-29,1880-09-07,Q108997614
88,22,2,Session 2 of Parliament 22,1880-11-24,1881-08-27,Q108997613
89,22,3,Session 3 of Parliament 22,1882-02-07,1882-12-02,Q108997612
90,22,4,Session 4 of Parliament 22,1883-02-15,1883-08-25,Q108997611
91,22,5,Session 5 of Parliament 22,1884-02-05,1884-08-14,Q108997610
92,22,6,Session 6 of Parliament 22,1884-10-23,1885-08-14,Q108997609
93,23,1,Session 1 of Parliament 23,1886-01-12,1886-06-25,Q108997608
94,24,1,Session 1 of Parliament 24,1886-08-05,1886-09-25,Q108997607
95,24,2,Session 2 of Parliament 24,1887-01-27,1887-09-16,Q108997606
96,24,3,Session 3 of Parliament 24,1888-02-09,1888-12-24,Q108997605
97,24,4,Session 4 of Parliament 24,1889-02-21,1889-08-30,Q108997604
98,24,5,Session 5 of Parliament 24,1890-02-11,1890-08-18,Q108997603
99,24,6,Session 6 of Parliament 24,1890-11-25,1891-08-05,Q108997602
100,24,7,Session 7 of Parliament 24,1892-02-09,1892-06-28,Q108997599
101,25,1,Session 1 of Parliament 25,1892-08-04,1892-08-18,Q108997582
102,25,2,Session 2 of Parliament 25,1893-01-31,1894-03-05,Q108997565
103,25,3,Session 3 of Parliament 25,1894-03-12,1894-08-25,Q108997550
104,25,4,Session 4 of Parliament 25,1895-02-05,1895-07-06,Q108997533
105,26,1,Session 1 of Parliament 26,1895-08-12,1895-09-05,Q108997518
106,26,2,Session 2 of Parliament 26,1896-02-11,1896-08-14,Q108997511
